SampledDate,% Solids (Generated Monthly-MOR),% VOL. RED.,Cake Dry Tons/Day,Dissolved O2 - North,"Dissolved Oxygen, Effluent","Dissolved Oxygen, Influent","Flow(MAX), Influent","Flow, Influent",Hours Bypassed,Peracetic Acid,Qty Wet Sludge Disposed,Qty Wet Sludge Generated,Rainfall,Temperature - DIG.SDG.,Temperature - Effluent,Temperature - Influent,Temperature - North,Volatile Solids Reduction Waste Sludge to Disposal,Weight of Sludge(Dry) Disposed,Weight of Sludge(Dry) Generated,Wet Cake,pH - Effluent (Max),pH - Effluent (Min),pH - Influent
2025-08-01,0.98,,,1.60,6.30,0.90,66.10,49.00,0.00,0.00,87374.00,2287869.00,0.00,20.90,26.80,26.40,28.50,72.32,78.00,85.00,,7.13,7.04,5.30
2025-08-02,,,,5.10,3.30,0.80,57.30,49.20,0.00,0.00,,,0.00,20.90,27.00,26.70,28.70,,,,,7.12,6.99,5.60
2025-08-03,,,,5.2,4.5,1.3,61.9,46.8,0.00,0.00,,,0.00,21.70,26.3,25.7,28.0,,,,,7.12,7.09,5.70
2025-08-04,,,,2.20,5.10,0.90,61.8,49.1,0.00,0.00,,,0.00,21.70,27.1,26.1,28.0,,,,,7.26,7.07,5.60
2025-08-05,,,,2.80,2.90,0.30,61.60,50.60,0.00,0.00,,,T,21.70,27.40,26.40,28.10,,,,,7.08,7.05,4.80
2025-08-06,,,,4.50,1.60,0.30,64.60,52.70,0.00,0.19,,,0.00,21.70,27.60,28.20,28.9,,,,,7.26,7.13,5.55
2025-08-07,,69.00,6.78,3.20,4.80,0.40,95.00,49.10,0.00,0.22,,,0.02,21.70,28.50,28.70,26.50,,,,7.09,7.25,7.13,5.50
2025-08-08,,70.00,9.81,3.50,6.70,2.40,73.00,55.60,0.00,0.04,,,1.01,21.70,26.00,25.30,23.20,,,,10120.00,7.17,7.13,5.42
2025-08-09,,,,6.50,0.30,0.50,61.60,52.50,0.00,0.04,,,0.00,21.70,28.20,27.20,30.0,,,,,7.08,7.02,5.62
2025-08-10,,,,6.60,7.90,0.75,61.90,52.50,0.00,0.00,,,0.00,21.70,28.10,27.20,28.90,,,,,7.13,7.09,5.40
