SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Apparent Color,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Dissolved Oxygen,Escherichia coli,Lead,Mercury,Method Reference,Molybdenum,Nickel,Organic Nitrogen,Phosphorus-total,Sample Amount,Selenium,Settleable Solids,Soluble BOD,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,Volatile Suspended Solids,Zinc,pH,pH Apparent Color
2025-08-01,95,10.3,,,,66,,360,,,,7.36,,,,,,,,,1000,,6,128,,33.8,0.24,,85,81,,7.36,
2025-08-02,95,8.7,,,,114,,609,,,,5.00,,,,,,,,,1000,,23,35,,32.6,0.33,,182,172,,7.36,
2025-08-03,100,23.3,,,,100,,269,,,,4.02,,,,,,,,,1000,,15,41,,30.4,1.59,,88,88,,7.26,
2025-08-04,98,13.4,,,,57,,276,,,,6.28,,,,,,,,,1000,,3,29,,29.9,1.04,,77,75,,7.45,
2025-08-05,95,10.7,,,,105,,497,,,,5.68,,,,,,,,,1000,,15,16,,34.2,0.34,,176,168,,7.39,
2025-08-06,93,32.9,,,,96,,431,,,,7.66,,,,,,,,,1000,,11,26,,33.2,0.23,,142,132,,7.60,
2025-08-07,100,27.5,,,,62,,240,,,,3.84,,,,,,,,,1000,,2,32,,31.2,1.20,,83,83,,7.45,
2025-08-08,94,17.9,,,,67,,346,,,,8.22,,,,,,,,,1000,,6,27,,27.7,1.14,,103,97,,7.62,
2025-08-09,89,16.2,,,,81,,351,,,,7.21,,,,,,,,,1000,,14,23,,23.5,0.74,,158,140,,7.43,
2025-08-10,91,18.6,,,,39,,255,,,,4.15,,,,,,,,,1000,,1,23,,29.8,1.04,,48,43,,7.50,
2025-08-11,91,18,,,,31,,378,,,,2.85,,,,,,,,,1000,,1,17,,32.4,0.55,,54,50,,7.47,
2025-08-12,97,14.4,,,,71,,893,,,,8.66,,,,,,,,,1000,,<0.5,35,,1.4,0.67,,45,44,,7.78,
2025-08-13,90,20.1,,,,70,,358,,,,6.55,,,,,,,,,1000,,1,46,,33.2,0.60,,101,91,,7.44,
2025-08-14,87,18.2,,,,92,,470,,,,4.72,,,,,,,,,1000,,18,26,,33.6,0.74,,189,164,,7.35,
2025-08-15,99,18.1,,,,66,,356,,,,4.66,,,,,,,,,1000,,2,40,,35.5,3.31,,66,65,,7.40,
2025-08-16,95,16.9,,,,35,,268,,,,7.10,,,,,,,,,1000,,<0.5,26,,37.5,0.94,,32,30,,7.46,
2025-08-17,88,20.5,,,,34,,264,,,,4.15,,,,,,,,,1000,,0.5,23,,26.4,3.64,,47,41,,7.49,
2025-08-18,99,23.5,,,,154,,497,,,,5.41,,,,,,,,,1000,,<0.5,167,,28.1,0.98,,58,58,,7.29,
2025-08-19,85,12.5,,,,29,,262,,,,8.34,,,,,,,,,1000,,<0.5,27,,37.2,1.47,,34,29,,7.55,
