SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Apparent Color,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Lead,Mercury,Method Reference,Molybdenum,Nickel,Phosphorus-total,SARS-COV2,Sample Amount,Selenium,Settleable Solids,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,True Color,Volatile Acids,Volatile Suspended Solids,Zinc,pH,pH Apparent Color
2025-08-01,93,18.5,,,,1000,,1606,,,,,,,,,,,1000,,22,,27.2,1.33,,502,,303,467,,6.64,
2025-08-02,90,18.4,,,,710,,1590,,,,,,,,,,,1000,,23,,32.1,0.44,,464,,360,419,,7.10,
2025-08-03,100,16.9,,,,637,,1416,,,,,,,,,,,1000,,10,,30.6,3.29,,304,,306,305,,6.76,
2025-08-04,97,18.9,,,,466,,1502,,,,,,,,,,20880,1000,,11,,30.8,3.88,,411,,369,399,,6.26,
2025-08-05,97,20,,,,722,,1772,,,,,,,,,,,1000,,14,,38.1,0.12,,416,,369,402,,6.51,
2025-08-06,90,21.7,,,,848,,1904,,,,,,,,,,,1000,,11,,37.7,0.40,,532,,345,477,,6.75,
2025-08-07,92,16.5,,,,820,,1136,,,,,,,,,,,1000,,13,,26.1,2.36,,592,,330,545,,6.55,
2025-08-08,91,20.3,,,,965,,1942,,,,,,,,,,,1000,,12,,29.1,2.03,,616,,387,561,,6.71,
2025-08-09,87,15.8,,,,611,,1254,,,,,,,,,,,1000,,11,,30.5,2.75,,455,,171,395,,7.44,
2025-08-10,91,18.2,,,,660,,1296,,,,,,,,,,,1000,,7,,28.9,0.34,,297,,296,269,,6.56,
2025-08-11,94,17.6,,,,723,,1516,,,,,,,,,,,1000,,5,,35.7,2.04,,311,,330,292,,6.74,
2025-08-12,94,19.7,,,,927,,1164,,,,,,,,,,,1000,,6,,34.8,0.31,,318,,375,299,,6.89,
2025-08-13,92,18.1,,,,826,,1401,,,,,,,,,,,1000,,8,,40.5,1.88,,426,,372,390,,6.52,
2025-08-14,89,21.2,,,,889,,1830,,,,,,,,,,,1000,,16,,40.1,0.08,,633,,366,562,,7.04,
2025-08-15,89,18.4,,,,729,,1624,,,,,,,,,,,1000,,11,,34,0.75,,408,,348,362,,6.71,
2025-08-16,95,18.6,,,,659,,1472,,,,,,,,,,,1000,,7,,40.3,2.64,,636,,333,604,,6.88,
2025-08-17,92,17.9,,,,646,,1454,,,,,,,,,,,1000,,12,,34.6,3.76,,420,,287,387,,6.01,
2025-08-18,93,15.1,,,,745,,1706,,,,,,,,,,,1000,,15,,32.5,0.44,,451,,369,418,,7.06,
2025-08-19,90,14.2,,,,677,,1352,,,,,,,,,,,1000,,11,,32.2,1.96,,377,,327,340,,6.77,
2025-08-20,97,17.6,,,,632,,1422,,,,,,,,,,,1000,,4,,43.8,3.70,,269,,333,260,,7.05,
2025-08-21,96,13,,,,761,,1570,,,,,,,,,,,1000,,7,,38.3,1.17,,470,,378,450,,6.74,
2025-08-22,94,17.1,,,,766,,1692,,,,,,,,,,,1000,,6,,30.4,3.68,,136,,409,128,,6.58,
2025-08-23,97,12.4,,,,640,,1023,,,,,,,,,,,1000,,5,,35.6,3.35,,284,,318,276,,6.50,
2025-08-24,97,18.9,,,,707,,1666,,,,,,,,,,,1000,,5,,25.5,0.20,,276,,281,267,,6.55,
2025-08-25,97,16.8,,,,862,,1694,,,,,,,,,,35061,1000,,9,,31.8,0.31,,362,,284,351,,6.64,
2025-08-26,94,21.1,,,,621,,1422,,,,,,,,,,,1000,,8,,30.4,1.64,,305,,143,288,,6.69,
2025-08-27,90,34.9,,,,1107,,610,,,,,,,,,,,1000,,15,,54.9,2.92,,855,,321,767,,6.54,
2025-08-28,98,46.5,,,,742,,164,,,,,,,,,,,1000,,7,,28.4,0.93,,298,,381,292,,6.21,
2025-08-29,89,30.8,,,,803,,1600,,,,,,,,,,,1000,,10,,33.8,3.00,,466,,421,416,,6.52,
2025-08-30,92,84.6,,,,712,,1850,,,,,,,,,,,1000,,13,,28.9,3.12,,481,,336,442,,6.49,
2025-08-31,93,37.5,,,,760,,650,,,,,,,,,17,,1000,,11,,30.8,0.93,66,485,,409,452,,6.95,
2025-09-01,96,63,,,,764,,1200,,,,,,,,,,,1000,,16,,28.7,0.36,,416,,430,399,,6.36,
2025-09-02,92,,,,,873,,1200,,,,,,,,,22.9,,1000,,15,,29.2,2.79,111,537,,363,495,,6.39,
2025-09-03,90,55.4,,2750,,984,,1420,,,,,,,,,,,1000,,15,,44.3,0.64,,546,460,575,493,,6.26,6.26
2025-09-04,94,26.6,,2720,,1097,,1320,,,,,,,,,,,1000,,13,,30.7,1.37,,512,200,457,481,,6.50,6.50
2025-09-05,93,48.9,,2280,,702,,1300,,,,,,,,,,,1000,,7,,32.5,0.74,,471,1140,384,436,,6.12,6.12
2025-09-06,91,31.2,,4170,,639,,1400,,,,,,,,,,,1000,,14,,24.5,0.47,,422,1420,372,385,,6.57,6.57
2025-09-07,94,26.6,,2220,,734,,1940,,,,,,,,,,,1000,,5,,30.6,3.53,,247,760,363,233,,6.86,6.86
2025-09-08,97,36.6,,1760,,640,,1060,,,,,,,,,,15746,1000,,6,,32.8,0.98,,273,700,321,264,,6.55,6.55
2025-09-09,97,34.3,,,,675,,1060,,,,,,,,,,,1000,,3,,21.6,0.87,,230,,415,224,,6.37,
2025-09-10,93,20,,2610,,734,,1380,,,,,,,,,,,1000,,10,,29.8,0.44,,569,1390,333,527,,6.69,6.69
