SampledDate,% Volatile Suspended Solids,Biochemical Oxygen Demand,Soluble BOD,TSS - Change in Wt,Total Suspended Solids,Volatile Suspended Solids,pH
2025-08-01,84,629,455,2.13,56,48,6.78
2025-08-02,92,583,474,0.00,176,162,6.26
2025-08-03,88,601,462,1.84,163,144,6.14
2025-08-04,75,544,468,1.69,177,133,6.90
2025-08-05,99,577,537,2.92,214,211,6.04
2025-08-06,88,589,488,2.35,213,187,6.31
2025-08-07,90,635,423,1.15,193,174,6.31
2025-08-08,90,636,601,3.23,194,175,6.13
2025-08-09,86,488,355,2.63,190,163,6.53
2025-08-10,95,520,221,2.26,133,127,6.01
2025-08-11,98,447,450,3.85,156,153,6.76
2025-08-12,96,671,465,2.15,233,223,6.00
2025-08-13,99,605,562,0.61,163,161,6.56
2025-08-14,67,555,442,1.31,229,154,6.98
2025-08-15,92,575,407,0.00,161,148,7.39
2025-08-16,97,522,446,1.05,136,131,6.61
2025-08-17,99,483,399,2.96,113,112,6.03
2025-08-18,98,541,419,3.16,146,143,7.40
2025-08-19,95,550,474,1.80,167,159,6.04
2025-08-20,96,400,413,3.60,154,148,6.29
2025-08-21,93,570,590,1.39,240,223,7.41
2025-08-22,92,540,518,1.69,126,116,7.17
2025-08-23,90,485,427,3.49,123,110,8.25
2025-08-24,91,462,369,3.61,119,108,6.05
2025-08-25,91,544,502,1.84,116,106,6.69
2025-08-26,87,456,432,3.17,126,109,6.35
2025-08-27,91,604,673,4.41,136,124,6.24
2025-08-28,95,607,600,1.44,174,165,6.14
2025-08-29,90,602,247,2.01,149,134,6.24
2025-08-30,93,592,519,2.40,179,166,6.72
2025-08-31,89,436,310,2.65,118,105,6.44
2025-09-01,100,460,394,2.61,105,105,6.35
2025-09-02,91,582,506,0.40,209,191,6.53
2025-09-03,84,720,554,1.67,343,289,6.36
2025-09-04,93,704,840,1.41,304,283,6.28
2025-09-05,93,584,567,0.50,335,312,6.19
2025-09-06,98,509,329,0.75,266,262,6.23
2025-09-07,94,566,429,1.41,355,335,6.14
2025-09-08,93,441,330,1.85,216,200,6.21
2025-09-09,89,640,519,2.90,345,308,6.06
2025-09-10,99,428,485,1.96,204,202,6.51
2025-09-11,96,517,424,1.54,325,313,6.50
2025-09-12,87,540,460,2.36,423,370,6.48
2025-09-13,99,556,420,0.00,400,396,6.48
2025-09-14,92,507,448,1.27,226,209,7.81
2025-09-15,98,549,481,3.08,217,213,6.76
2025-09-16,91,523,361,1.80,239,217,6.05
2025-09-17,90,635,711,0.84,397,357,6.26
2025-09-18,95,584,550,4.05,493,470,6.48
2025-09-19,97,736,579,1.08,465,453,6.80
2025-09-20,90,704,574,4.21,653,585,7.50
2025-09-21,87,596,387,0.00,660,573,6.24
2025-09-22,97,660,504,2.68,870,847,6.12
2025-09-23,94,624,449,2.35,567,530,6.30
2025-09-24,93,568,374,3.96,505,468,6.10
2025-09-25,84,502,424,0.65,388,325,6.15
2025-09-26,89,492,369,0.92,436,388,6.20
2025-09-27,90,598,418,2.76,603,540,6.47
2025-09-28,87,527,398,3.74,428,372,6.59
2025-09-29,93,491,267,0.68,490,453,6.39
2025-09-30,80,489,341,1.64,488,388,6.40
2025-10-01,83,421,393,4.21,380,316,6.28
2025-10-02,88,454,436,2.39,261,229,6.66
2025-10-03,86,438,367,2.33,430,370,6.82
2025-10-04,90,351,324,1.83,273,246,6.74
2025-10-05,85,380,372,0.00,223,189,6.97
2025-10-06,88,539,325,0.40,359,314,6.53
2025-10-07,78,247,363,1.90,233,182,6.32
2025-10-08,82,447,448,0.95,210,172,6.40
2025-10-09,87,584,416,4.57,246,215,6.18
2025-10-10,91,562,357,1.31,458,416,6.61
2025-10-11,92,444,341,1.11,360,332,6.64
2025-10-12,88,445,308,0.58,216,191,6.65
2025-10-13,89,515,457,2.99,223,198,6.53
2025-10-14,88,542,424,4.17,288,254,6.46
2025-10-15,96,407,411,2.78,240,230,6.43
2025-10-16,97,409,424,2.80,178,173,6.25
2025-10-17,89,442,351,1.30,220,196,6.22
2025-10-18,89,502,392,2.15,207,184,6.20
2025-10-19,99,526,238,4.29,175,173,6.19
2025-10-20,90,523,426,0.00,288,258,7.12
2025-10-21,80,546,587,0.75,266,214,6.02
2025-10-22,98,592,296,1.20,237,233,6.13
2025-10-23,89,462,464,1.64,244,216,6.54
2025-10-24,89,379,342,3.03,220,195,6.73
2025-10-25,91,475,351,0.00,252,230,6.54
2025-10-26,91,465,225,0.76,218,198,6.27
2025-10-27,83,296,247,0.81,123,102,6.33
2025-10-28,89,492,266,1.84,163,145,6.11
2025-10-29,82,410,344,0.72,232,190,6.20
2025-10-30,81,319,269,2.40,208,168,6.49
2025-10-31,72,429,378,2.44,205,148,6.42
2025-11-01,91,551,401,4.51,333,303,6.19
2025-11-02,88,459,421,2.82,354,312,6.53
2025-11-03,93,610,495,0.47,352,327,6.52
2025-11-04,87,525,453,1.12,356,310,6.47
2025-11-05,81,512,801,2.33,258,208,6.16
2025-11-06,95,484,442,1.75,228,217,6.23
2025-11-07,93,598,473,1.05,271,251,6.01
2025-11-08,97,500,330,2.67,375,363,6.06
2025-11-09,93,583,>434,2.01,298,278,6.20
2025-11-10,91,527,459,3.70,338,308,6.36
2025-11-11,88,447,413,1.73,192,170,6.06
2025-11-12,96,322,556,1.43,127,122,7.30
2025-11-13,90,461,342,2.33,172,155,6.20
2025-11-14,94,566,456,2.33,179,168,6.08
2025-11-15,90,560,506,2.94,170,153,6.88
2025-11-16,93,565,534,2.86,250,231,6.79
2025-11-17,97,722,496,3.49,246,239,6.49
2025-11-18,100,671,470,0.61,233,233,6.30
2025-11-19,97,529,466,3.60,154,150,6.19
