SampledDate,% Volatile Suspended Solids,Biochemical Oxygen Demand,Soluble BOD,TSS - Change in Wt,Total Suspended Solids,Volatile Suspended Solids,pH
2024-06-01,,,,4.08,980,,
2024-06-02,,534,,1.60,748,,6.60
2024-06-03,,570,,0.78,860,,6.52
2024-06-04,,747,,3.16,475,,6.25
2024-06-05,,595,,0.63,636,,6.49
2024-06-06,,599,,1.67,748,,6.67
2024-06-07,,,,1.27,1053,,
2024-06-08,,,,1.58,1057,,
2024-06-09,,642,,0.47,1075,,6.56
2024-06-10,,,,0.00,1150,,
2024-06-11,,709,,0.00,1110,,6.39
2024-06-12,,690,,0.94,1227,,6.33
2024-06-13,,640,,0.58,688,,6.44
2024-06-14,,,,2.05,584,,
2024-06-15,,,,0.14,721,,
2024-06-16,,827,,1.05,633,,6.37
2024-06-17,,570,,0.45,558,,6.38
2024-06-18,,,,0.23,854,,
2024-06-19,,729,,1.16,577,,6.43
2024-06-20,,722,,2.22,675,,6.30
2024-06-21,,,,1.23,540,,
2024-06-22,,,,1.98,505,,
2024-06-23,,594,,3.16,475,,6.48
2024-06-24,,677,,2.09,797,,6.40
2024-06-25,,802,,1.65,605,,6.22
2024-06-26,,751,,2.55,917,,6.28
2024-06-27,,810,,0.43,783,,6.34
2024-06-28,,,,4.07,615,,
2024-06-29,,,,2.04,490,,
2024-06-30,,659,,1.41,473,,6.54
2024-07-01,,447,,1.41,533,,6.77
2024-07-02,,657,,2.14,560,,6.17
2024-07-03,,,,0.96,622,,
2024-07-04,,759,,3.74,623,,6.34
2024-07-05,,,,1.83,727,,
2024-07-06,,,,1.71,780,,
2024-07-07,,644,,4.64,790,,6.59
2024-07-08,,841,,0.00,880,,6.34
2024-07-09,,778,,2.76,905,,6.24
2024-07-10,,729,,0.52,955,,6.37
2024-07-11,,731,,0.75,887,,6.27
2024-07-12,,,,1.06,943,,
2024-07-13,,,,0.50,995,,
2024-07-14,,604,,1.11,900,,6.58
2024-07-15,,715,,0.44,1135,,6.49
2024-07-16,,862,,2.52,1190,,6.11
2024-07-17,,624,,2.00,1000,,6.64
2024-07-18,,566,,0.93,1070,,6.16
2024-07-19,,,,0.88,1140,,
2024-07-20,,,,1.63,1230,,
2024-07-21,,805,,2.15,1165,,6.43
2024-07-22,,700,,1.69,1180,,6.56
2024-07-23,,719,,1.55,965,,6.32
2024-07-24,,429,,1.57,955,,6.47
2024-07-25,,751,,0.00,1230,,6.31
2024-07-26,,,,3.73,927,,
2024-07-27,,,,1.17,1140,,
2024-07-28,,660,,0.78,1290,,6.46
2024-07-29,,359,,0.95,1050,,6.71
2024-07-30,,489,,2.82,1180,,6.73
2024-07-31,,385,,0.37,1042,,6.78
2024-08-01,,463,,0.27,913,,6.94
2024-08-02,,,,0.00,1080,,
2024-08-03,,,,0.00,760,,
2024-08-04,,706,,2.78,540,,6.44
2024-08-05,,702,,1.41,710,,6.33
2024-08-06,,970,,2.39,523,,6.20
2024-08-07,,583,,0.76,468,,6.20
2024-08-08,,754,,0.75,443,,6.50
2024-08-09,,,,1.19,506,,
2024-08-10,,,,0.72,556,,
2024-08-11,,680,,2.94,453,,6.44
2024-08-12,,658,,1.85,540,,6.47
2024-08-13,,641,,0.00,564,,6.53
2024-08-14,,551,,2.61,575,,6.51
2024-08-15,,857,,1.51,663,,6.80
2024-08-16,,,,2.30,723,,
2024-08-17,,,,0.60,672,,
2024-08-18,,466,,0.63,530,,6.68
2024-08-19,,643,,0.52,637,,6.50
2024-08-20,,721,,3.18,785,,6.44
2024-08-21,,690,,2.51,698,,6.59
2024-08-22,,697,,0.00,753,,6.40
2024-08-23,,,,0.43,777,,
2024-08-24,,,,0.86,773,,
2024-08-25,,703,,0.87,767,,6.47
2024-08-26,,710,,1.09,460,,6.25
2024-08-27,,605,,1.52,657,,6.48
2024-08-28,,878,,1.63,820,,6.34
2024-08-29,,726,,2.94,680,,6.23
2024-08-30,,,,2.59,643,,
2024-08-31,,,,1.17,858,,
2024-09-01,,762,,0.75,665,,6.32
2024-09-02,,580,,2.41,830,,6.75
2024-09-03,,720,,1.18,845,,6.43
2024-09-04,,811,,0.96,1043,,6.41
2024-09-05,,776,,3.75,1157,,6.29
2024-09-06,,,,0.00,1050,,
2024-09-07,,,,1.00,1505,,
2024-09-08,,813,,0.00,1410,,6.38
2024-09-09,,762,,1.52,1320,,6.32
2024-09-10,,688,,1.04,960,,6.21
2024-09-11,,743,,2.76,603,,6.08
2024-09-12,,808,,2.58,903,,6.75
2024-09-13,,,,2.93,478,,
2024-09-14,,,,3.31,346,,
2024-09-15,,603,,4.04,495,,6.46
2024-09-16,,287,,3.06,382,,6.42
2024-09-17,,327,,0.44,321,,6.64
2024-09-18,,436,,1.04,578,,6.59
2024-09-19,,636,,0.35,472,,6.22
2024-09-20,,,,1.32,568,,
2024-09-21,,,,0.00,587,,
2024-09-22,,474,,0.00,630,,6.39
2024-09-23,,442,,0.00,640,,6.57
2024-09-24,,601,,0.30,674,,6.36
2024-09-25,,644,,1.82,825,,6.40
2024-09-26,,812,,1.23,810,,6.20
2024-09-27,,,,0.00,680,,
2024-09-28,,,,1.13,1770,,
2024-09-29,,<200,,0.84,298,,7.02
2024-09-30,,303,,1.75,342,,6.69
2024-10-01,,444,,1.59,270,,6.47
2024-10-02,,908,,1.98,793,,6.55
2024-10-03,,793,,0.45,553,,6.39
2024-10-04,,,,2.89,544,,
2024-10-05,,,,1.26,478,,
2024-10-06,,586,,1.09,368,,6.34
2024-10-07,,774,,1.59,504,,6.64
2024-10-08,,824,,2.29,524,,6.17
2024-10-09,,785,,2.94,453,,6.11
2024-10-10,,851,,0.00,516,,6.48
2024-10-11,,,,1.23,486,,
2024-10-12,,,,0.55,458,,
2024-10-13,,732,,1.14,440,,6.56
2024-10-14,,889,,0.40,498,,6.33
2024-10-15,,752,,1.45,414,,6.27
2024-10-16,,707,,0.97,412,,6.43
2024-10-17,,829,,2.01,498,,6.50
2024-10-18,,,,0.83,403,,
2024-10-19,,,,0.61,413,,
2024-10-20,,621,,1.49,479,,6.49
2024-10-21,,675,,0.56,396,,6.21
2024-10-22,,669,,2.06,388,,6.35
2024-10-23,,752,,0.76,524,,6.50
2024-10-24,,907,,2.80,535,,6.38
2024-10-25,,,,1.09,523,,
2024-10-26,,,,4.10,557,,
2024-10-27,,514,,0.91,440,,6.44
2024-10-28,,542,,1.08,349,,6.65
2024-10-29,,394,,2.37,301,,6.82
2024-10-30,,425,,1.55,276,,6.59
2024-10-31,,429,,3.31,242,,6.62
2024-11-01,,,,3.57,187,,
2024-11-02,,,,2.15,194,,
2024-11-03,,536,,1.26,299,,6.30
2024-11-04,,672,,3.17,386,,6.74
2024-11-05,,802,,1.64,436,,6.70
2024-11-06,,367,,2.86,630,,6.54
2024-11-07,,393,,2.06,323,,6.17
2024-11-08,,,,1.71,468,,
2024-11-09,,,,0.00,540,,
2024-11-10,,,,1.45,493,,
2024-11-11,,676,,2.13,470,,6.55
2024-11-12,,694,,1.99,502,,6.50
2024-11-13,,647,,2.68,522,,6.07
2024-11-14,,393,,3.42,468,,6.22
2024-11-15,,,,1.06,627,,
2024-11-16,,,,1.14,658,,
2024-11-17,,701,,2.28,614,,6.45
2024-11-18,,837,,0.35,574,,6.39
2024-11-19,,530,,1.49,536,,6.20
2024-11-20,,603,,0.88,753,,6.11
2024-11-21,,685,,1.86,538,,6.12
2024-11-22,,,,1.11,600,,
2024-11-23,,,,1.40,538,,
2024-11-24,,576,,1.29,443,,6.15
2024-11-25,,512,,0.00,471,,6.34
2024-11-26,,695,,0.37,546,,6.47
2024-11-27,,,,1.67,480,,
2024-11-28,,,,0.84,595,,
2024-11-29,,,,0.91,473,,
2024-11-30,,,,0.56,443,,
2024-12-01,,505,,3.50,477,,6.22
2024-12-02,,364,,2.39,418,,6.40
2024-12-03,,625,,3.52,498,,6.26
2024-12-04,,560,,2.33,573,,6.12
2024-12-05,,691,,3.65,502,,6.18
2024-12-06,,,,0.00,672,,
2024-12-07,,,,0.00,600,,
2024-12-08,,821,,0.47,528,,6.99
2024-12-09,,589,,0.00,532,,6.00
2024-12-10,,369,,2.56,347,,6.16
2024-12-11,,512,,1.48,540,,6.16
2024-12-12,,620,,0.44,450,,6.17
2024-12-13,,,,1.71,390,,
2024-12-14,,,,0.70,473,,
2024-12-15,,612,,0.97,515,,6.27
