SampledDate,% Volatile Suspended Solids,Chemical Oxygen Demand,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2024-06-01,82,,512,1665,1360,6.73
2024-06-02,79,,348,780,617,7.21
2024-06-03,88,,469,490,430,7.11
2024-06-04,70,,412,325,228,6.68
2024-06-05,84,,396,339,286,7.13
2024-06-06,84,,379,550,463,7.29
2024-06-07,86,,410,570,493,7.30
2024-06-08,90,,296,543,488,7.60
2024-06-09,84,,455,783,660,7.48
2024-06-10,88,,413,719,635,7.11
2024-06-11,84,,515,1065,900,6.98
2024-06-12,86,,522,1000,858,7.06
2024-06-13,87,,337,500,436,7.01
2024-06-14,85,,486,436,370,7.06
2024-06-15,88,,570,447,392,6.33
2024-06-16,85,,533,385,328,6.93
2024-06-17,92,,422,430,397,7.06
2024-06-18,78,,297,418,328,7.08
2024-06-19,93,,389,375,350,7.15
2024-06-20,89,,377,517,460,7.00
2024-06-21,91,,404,413,377,7.14
2024-06-22,84,,556,425,358,6.20
2024-06-23,88,,361,413,363,7.36
2024-06-24,80,,569,573,460,6.85
2024-06-25,89,,389,727,647,7.10
2024-06-26,87,,373,867,750,7.05
2024-06-27,89,,306,318,282,7.32
2024-06-28,81,,465,423,343,7.01
2024-06-29,93,,418,373,347,7.07
2024-06-30,97,,450,403,390,7.09
2024-07-01,87,,276,490,424,7.32
2024-07-02,83,,356,470,388,6.91
2024-07-03,87,,575,400,346,6.88
2024-07-04,94,,344,383,360,7.25
2024-07-05,92,,445,530,487,7.06
2024-07-06,96,,387,527,503,7.42
2024-07-07,96,,403,610,588,7.43
2024-07-08,92,,562,650,595,7.22
2024-07-09,84,,411,633,533,7.12
2024-07-10,86,,310,590,510,7.44
2024-07-11,84,,369,725,610,7.26
2024-07-12,84,,408,897,753,7.17
2024-07-13,99,,383,677,670,7.16
2024-07-14,89,,326,705,625,7.20
2024-07-15,80,,349,870,700,7.14
2024-07-16,84,,466,710,593,6.92
2024-07-17,84,,336,747,630,7.26
2024-07-18,79,,492,1620,1285,6.50
2024-07-19,96,,387,795,765,7.25
2024-07-20,89,,426,795,705,7.13
2024-07-21,83,,238,865,720,7.47
2024-07-22,86,,284,845,730,7.35
2024-07-23,75,,514,1540,1160,7.03
2024-07-24,83,,266,713,590,7.39
2024-07-25,76,,446,820,627,7.06
2024-07-26,83,,332,883,733,7.25
2024-07-27,79,,270,860,677,7.36
2024-07-28,94,,381,880,830,7.29
2024-07-29,77,,144,1000,770,7.40
2024-07-30,80,,138,873,700,7.63
2024-07-31,75,,167,1097,823,7.63
2024-08-01,79,,160,705,555,7.67
2024-08-02,81,,207,905,730,7.47
2024-08-03,85,,303,517,440,7.18
2024-08-04,76,,373,440,333,7.07
2024-08-05,84,,452,550,463,6.68
2024-08-06,87,,534,365,318,6.77
2024-08-07,91,,642,310,283,6.21
2024-08-08,38,,426,935,355,7.09
2024-08-09,85,,383,424,360,7.09
2024-08-10,87,,417,406,352,7.07
2024-08-11,89,,350,493,437,7.13
2024-08-12,90,,434,390,353,6.98
2024-08-13,90,,318,372,335,7.22
2024-08-14,82,,338,428,353,7.04
2024-08-15,88,,359,520,460,7.03
2024-08-16,92,,325,580,533,7.17
2024-08-17,84,,353,568,475,7.26
2024-08-18,97,,141,487,470,7.70
2024-08-19,89,,261,547,487,7.44
2024-08-20,85,,242,426,364,7.37
2024-08-21,88,,276,570,500,7.49
2024-08-22,92,,224,510,467,7.46
2024-08-23,96,,340,710,680,7.15
2024-08-24,83,,302,543,453,7.36
2024-08-25,93,,266,703,653,7.53
2024-08-26,84,,273,403,340,7.23
2024-08-27,82,,229,430,353,7.44
2024-08-28,98,,327,423,417,7.55
2024-08-29,80,,293,408,328,7.25
2024-08-30,84,,210,385,325,7.37
2024-08-31,83,,157,436,360,7.29
2024-09-01,87,,184,436,378,7.54
2024-09-02,84,,230,473,395,7.42
2024-09-03,83,,222,803,667,7.39
2024-09-04,83,,302,657,543,7.26
2024-09-05,84,,257,857,720,7.42
2024-09-06,100,,285,540,540,7.30
2024-09-07,95,,238,247,233,7.26
2024-09-08,83,,398,570,473,7.21
2024-09-09,93,,299,860,800,7.36
2024-09-10,81,,263,685,555,7.47
2024-09-11,85,,315,593,507,7.11
2024-09-12,88,,477,430,377,6.88
2024-09-13,76,,148,174,132,6.72
2024-09-14,84,,240,157,132,6.88
2024-09-15,82,,300,370,305,7.09
2024-09-16,77,,62,276,211,7.18
2024-09-17,79,,103,210,166,7.35
2024-09-18,84,,127,430,360,7.45
2024-09-19,84,,251,271,227,7.22
2024-09-20,96,,496,440,423,6.50
2024-09-21,93,,195,263,245,7.61
2024-09-22,85,,166,637,543,7.64
2024-09-23,85,,142,613,523,7.68
2024-09-24,79,,184,514,404,7.57
2024-09-25,82,,227,640,523,7.51
2024-09-26,89,,370,755,670,7.83
2024-09-27,83,,380,570,473,6.97
2024-09-28,81,,79,287,233,6.97
2024-09-29,95,,75,203,193,7.35
2024-09-30,84,,130,271,229,7.25
2024-10-01,86,,169,188,162,7.21
2024-10-02,87,,232,199,174,6.75
2024-10-03,,,371,,,6.87
2024-10-04,83,,436,182,151,6.83
2024-10-05,86,,327,376,324,7.05
2024-10-06,92,,170,183,168,7.35
2024-10-07,92,,306,145,134,6.69
