SampledDate,% Volatile Suspended Solids,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2025-08-01,90,115,129,117,7.35
2025-08-02,99,520,135,133,6.33
2025-08-03,88,485,174,153,6.38
2025-08-04,95,459,157,149,6.10
2025-08-05,89,408,208,185,6.22
2025-08-06,90,448,193,173,6.74
2025-08-07,81,348,213,173,7.02
2025-08-08,89,131,218,194,7.69
2025-08-09,83,374,208,173,6.18
2025-08-10,96,439,137,131,6.39
2025-08-11,96,112,139,133,7.57
2025-08-12,88,224,173,153,6.90
2025-08-13,99,265,189,187,6.98
2025-08-14,91,109,183,167,7.54
2025-08-15,94,227,176,165,6.87
2025-08-16,90,514,138,124,6.73
2025-08-17,94,410,202,190,6.07
2025-08-18,100,406,147,147,6.30
2025-08-19,76,132,172,131,7.42
2025-08-20,99,138,165,164,7.41
2025-08-21,93,131,162,150,6.67
2025-08-22,93,136,129,120,7.29
2025-08-23,92,339,126,116,6.15
2025-08-24,90,406,109,98,6.38
2025-08-25,96,528,116,111,6.14
2025-08-26,95,441,120,114,6.42
2025-08-27,93,878,149,139,6.37
2025-08-28,91,639,157,143,6.19
2025-08-29,93,224,200,185,7.03
2025-08-30,91,540,217,197,6.80
2025-08-31,88,394,100,88,6.62
2025-09-01,100,558,114,114,6.76
2025-09-02,89,485,235,208,6.82
2025-09-03,88,440,355,312,6.94
2025-09-04,95,635,247,236,6.20
2025-09-05,92,577,450,413,6.41
2025-09-06,88,460,273,240,6.52
2025-09-07,97,414,193,187,6.84
2025-09-08,92,362,105,97,6.58
2025-09-09,92,547,151,139,6.27
2025-09-10,87,498,215,187,6.17
2025-09-11,86,431,246,211,6.09
2025-09-12,91,480,367,333,6.62
2025-09-13,96,444,344,330,6.43
2025-09-14,99,522,210,208,6.24
2025-09-15,96,459,135,130,6.52
2025-09-16,88,430,688,603,6.44
2025-09-17,90,598,303,272,6.84
2025-09-18,94,463,810,765,6.55
2025-09-19,90,566,648,586,6.16
2025-09-20,90,532,813,730,6.19
2025-09-21,90,241,550,493,6.86
2025-09-22,#VALUE!,328,57,#VALUE!,6.79
2025-09-23,90,462,487,440,6.67
2025-09-24,84,367,3000,2510,6.74
2025-09-25,83,423,397,330,6.26
2025-09-26,87,360,380,330,6.51
2025-09-27,88,445,947,833,6.68
2025-09-28,91,473,458,415,6.66
2025-09-29,85,63,177,150,6.90
2025-09-30,80,367,490,390,6.77
2025-10-01,71,446,562,400,6.57
2025-10-02,84,421,127,106,7.00
2025-10-03,92,51,273,250,7.96
2025-10-04,87,413,184,161,6.82
2025-10-05,87,372,251,219,6.79
2025-10-06,83,320,546,452,6.71
2025-10-07,83,217,199,166,6.76
2025-10-08,82,393,221,182,6.68
2025-10-09,84,363,309,260,6.88
2025-10-10,95,396,262,248,7.28
2025-10-11,87,328,416,362,7.14
2025-10-12,86,335,206,177,7.21
2025-10-13,88,401,169,148,7.08
2025-10-14,91,445,250,229,6.95
2025-10-15,88,451,223,197,6.76
2025-10-16,92,400,190,174,6.51
2025-10-17,95,329,231,220,6.64
2025-10-18,96,381,238,228,6.61
2025-10-19,87,386,214,186,6.97
2025-10-20,91,351,232,210,6.86
2025-10-21,86,463,153,131,6.44
2025-10-22,84,412,155,130,6.48
2025-10-23,85,389,201,171,7.169
2025-10-24,96,321,233,225,7.16
2025-10-25,97,389,147,143,7.08
2025-10-26,91,438,288,263,6.80
2025-10-27,95,235,143,136,6.80
2025-10-28,99,307,134,133,6.79
2025-10-29,97,320,227,221,6.67
2025-10-30,74,283,214,159,7.46
2025-10-31,74,368,194,144,6.74
2025-11-01,81,430,304,246,6.63
2025-11-02,86,464,323,278,6.89
2025-11-03,91,489,177,161,7.09
2025-11-04,77,420,261,201,7.01
2025-11-05,78,526,303,237,6.55
2025-11-06,95,494,199,188,6.58
2025-11-07,93,491,244,226,6.34
