SampledDate,% Volatile Suspended Solids,Biochemical Oxygen Demand,Chemical Oxygen Demand,Soluble BOD,TSS - Change in Wt,Total Suspended Solids,Volatile Suspended Solids,pH
2024-06-01,88,598,,496,4.48,1005,885,6.61
2024-06-02,84,584,,378,1.40,572,482,6.51
2024-06-03,85,561,,486,1.64,813,693,6.39
2024-06-04,68,591,,533,2.04,327,223,6.30
2024-06-05,87,622,,364,1.80,444,388,6.39
2024-06-06,88,618,,443,0.81,615,543,6.51
2024-06-07,84,928,,465,0.00,620,523,6.14
2024-06-08,85,830,,350,0.00,830,703,6.43
2024-06-09,84,891,,544,2.35,1065,890,6.35
2024-06-10,85,730,,452,1.69,885,750,6.38
2024-06-11,88,636,,333,0.47,710,623,6.44
2024-06-12,84,777,,626,1.52,1265,1062,6.18
2024-06-13,84,587,,357,0.76,524,440,6.60
2024-06-14,91,622,,563,0.48,414,378,6.50
2024-06-15,89,865,,603,1.33,450,402,7.03
2024-06-16,88,869,,544,0.00,505,443,6.11
2024-06-17,94,705,,484,0.00,550,515,6.11
2024-06-18,79,1136,,300,0.63,636,502,6.06
2024-06-19,87,781,,450,0.38,435,378,6.33
2024-06-20,91,862,,445,0.65,510,463,6.4
2024-06-21,83,775,,525,1.96,510,423,6.27
2024-06-22,80,620,,556,2.47,405,325,6.18
2024-06-23,95,585,,210,3.94,423,403,6.44
2024-06-24,91,726,,583,4.42,565,515,6.23
2024-06-25,87,776,,400,0.52,637,557,6.22
2024-06-26,90,761,,429,1.82,733,663,6.12
2024-06-27,86,648,,393,1.01,660,567,6.31
2024-06-28,84,834,,528,0.80,625,525,6.23
2024-06-29,84,736,,464,2.73,458,383,6.21
2024-06-30,85,680,,476,3.40,490,417,6.26
2024-07-01,89,452,,309,0.35,482,428,6.61
2024-07-02,88,461,,428,0.34,424,371,6.24
2024-07-03,84,1054,,599,1.00,602,506,6.24
2024-07-04,96,648,,391,0.87,383,367,6.24
2024-07-05,82,692,,498,1.41,473,390,6.27
2024-07-06,93,774,,417,1.57,637,590,6.44
2024-07-07,93,611,,741,1.24,603,558,6.55
2024-07-08,89,978,,558,2.35,710,633,6.29
2024-07-09,80,986,,456,0.00,1060,850,6.14
2024-07-10,90,642,,398,3.27,765,685,6.47
2024-07-11,92,776,,415,2.74,730,675,6.29
2024-07-12,72,893,,548,0.63,1060,767,6.42
2024-07-13,86,869,,415,0.35,950,820,6.26
2024-07-14,86,598,,366,0.50,995,855,6.48
2024-07-15,78,851,,454,0.44,1125,880,6.41
2024-07-16,82,847,,534,0.85,1170,960,6.09
2024-07-17,78,563,,390,2.13,940,735,6.57
2024-07-18,91,666,,446,0.00,800,725,6.12
2024-07-19,79,771,,461,0.58,865,680,6.39
2024-07-20,85,876,,500,0.44,1125,960,6.30
2024-07-21,81,716,,279,1.62,925,750,6.42
2024-07-22,81,497,,273,2.22,900,730,6.52
2024-07-23,81,637,,562,1.83,1090,885,6.39
2024-07-24,83,527,,290,2.65,1130,940,6.52
2024-07-25,77,796,,600,1.46,1370,1060,6.24
2024-07-26,89,636,,378,3.55,705,630,6.37
2024-07-27,81,572,,325,0.38,883,713,6.44
2024-07-28,96,537,,510,2.38,840,805,6.39
2024-07-29,78,339,,197,0.00,930,725,6.73
2024-07-30,78,443,,187,0.00,1147,893,6.87
2024-07-31,75,500,,220,0.61,1087,817,6.85
2024-08-01,77,411,,152,0.00,865,670,7.01
2024-08-02,78,440,,245,0.54,925,720,6.84
2024-08-03,79,597,,356,1.19,420,333,6.59
2024-08-04,80,657,,424,0.00,420,338,6.27
2024-08-05,85,850,,504,0.88,565,478,6.11
2024-08-06,88,849,,592,2.74,365,320,6.19
2024-08-07,95,930,,571,2.33,430,410,6.02
2024-08-08,89,725,,479,2.61,383,340,6.43
2024-08-09,85,747,,433,0.87,460,392,6.44
2024-08-10,86,718,,535,0.76,528,456,6.46
2024-08-11,89,628,,405,0.76,437,387,6.41
2024-08-12,81,660,,451,2.51,498,405,6.45
2024-08-13,81,704,,360,1.61,496,400,6.50
2024-08-14,81,567,,306,0.00,487,393,6.43
2024-08-15,88,730,,388,1.48,508,448,6.38
2024-08-16,97,726,,439,3.45,483,470,6.27
2024-08-17,86,686,,470,1.29,620,532,6.47
2024-08-18,90,501,,290,0.00,447,403,6.67
