SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Arsenic,Biochemical Oxygen Demand,Cadmium,Calcium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Dissolved Oxygen,Hardness,LC50 Static 48Hr Acute Ceriodaphnia,LC50 Static 48Hr Acute Pimephales,Lead,Magnesium,Mercury,Method Reference,Molybdenum,Nickel,Oil and Grease (HEM),Organic Nitrogen,Phosphorus-total,Sample Amount,Selenium,Settleable Solids,Soluble BOD,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Alkalinity (as CaCO3),Total Nitrogen,Total Suspended Solids,Volatile Suspended Solids,Zinc,pH
2024-06-01,93,55.9,,,146,,,438,,,,5.09,,,,,,,,,,,,,1000,,<0.5,46,,25.9,4.97,,,155,144,,7.80
2024-06-02,88,32.1,,,105,,,363,,,,1.03,,,,,,,,,,,7.1,8.2,1000,,<0.5,53,,25.9,0.91,,39.2,132,117,,7.38
2024-06-03,93,22.8,,,105,,,320,,,,6.53,,,,,,,,,,,,,1000,,<0.5,44,,29.4,1.45,,,115,107,,7.42
2024-06-04,93,16.3,,,86,,,308,,,,4.94,,,,,,,,,,,,,1000,,<0.5,39,,35.9,1.87,,,107,100,,7.37
2024-06-05,95,10.3,,,53,,,223,,,,6.84,,,,,,,,,,,,,1000,,<0.5,22,,39.8,0.56,,,70,66,,7.46
2024-06-06,97,19,,,63,,,259,,,,7.62,,,,,,,,,,,,,1000,,<0.5,23,,39.8,0.20,,,84,82,,7.57
2024-06-07,93,21.1,,,63,,,245,,,,7.60,,,,,,,,,,,,,1000,,<0.5,23,,33,0.59,,,85,79,,7.63
2024-06-08,96,20.4,,,69,,,249,,,,7.64,,,,,,,,,,,,,1000,,<0.50,24,,34.6,0.18,,,91,88,,7.63
2024-06-09,93,27.5,,,81,,,285,,,,7.24,,,,,,,,,,,,,1000,,<0.5,59,,34.1,3.66,,,90,84,,7.61
2024-06-10,92,31.8,,,53,,,370,,,,8.08,,,,,,,,,,,,,1000,,<0.5,32,,28.8,1.19,,,134,123,,7.56
2024-06-11,92,31.6,,,105,,,358,,,,6.75,,,,,,,,,,,,,1000,,<0.5,43,,35.9,2.09,,,115,106,,7.51
2024-06-12,95,24.2,,,109,,,398,,,,7.42,,,,,,,,,,,,,1000,,<0.5,46,,36,1.52,,,131,125,,7.43
2024-06-13,96,17.8,,,81,,,353,,,,8.75,,,,,,,,,,,,,1000,,<0.5,36,,42.8,2.26,,,89,85,,7.35
2024-06-14,92,5.65,,,34,,,188,,,,6.89,,,,,,,,,,,,,1000,,<0.5,20,,40.9,0.78,,,51,47,,7.54
2024-06-15,95,9.7,,,36,,,193,,,,5.82,,,,,,,,,,,,,1000,,<0.5,15,,34.9,1.87,,,53,50,,7.42
2024-06-16,92,16.2,,,44,,,228,,,,7.51,,,,,,,,,,,,,1000,,<0.5,18,,33.3,0.45,,,67,61,,7.51
2024-06-17,93,20,,,49,,,226,,,,6.62,,,,,,,,,,,,,1000,,0.5,13,,32.8,1.01,,,77,72,,7.48
2024-06-18,88,19.5,,,344,,,650,,,,0.74,,,,,,,,,,,,,1000,,5,24,,38,1.80,,,387,340,,7.28
2024-06-19,96,10.5,,,49,,,221,,,,6.34,,,,,,,,,,,,,1000,,<0.5,24,,40.5,0.36,,,70,67,,6.41
2024-06-20,89,16.3,,,64,,,308,,,,6.70,,,,,,,,,,,,,1000,,<0.5,68,,42.5,1.03,,,107,96,,7.28
2024-06-21,92,20.6,,,54,,,249,,,,5.39,,,,,,,,,,,,,1000,,<0.5,19,,38.2,0.36,,,83,76,,7.43
2024-06-22,92,23.4,,,55,,,249,,,,5.67,,,,,,,,,,,,,1000,,<0.5,23,,38.4,0.49,,,82,76,,7.27
2024-06-23,90,28.8,,,54,,,254,,,,6.45,,,,,,,,,,,,,1000,,<0.5,40,,34.5,0.28,,,71,64,,7.47
2024-06-24,95,30,,,84,,,275,,,,6.42,,,,,,,,,,,,,1000,,<0.5,38,,30.7,0.67,,,75,71,,7.53
2024-06-25,90,23.6,,,66,,27.5,332,,,,4.23,110,62.98,70.47,,10.1,,,,,,,,1000,,<0.5,42,,31,0.19,302,,103,93,,7.38
2024-06-26,93,29.4,,,123,,,462,,,,0.64,,,,,,,,,,,,,1000,,<0.5,<30,,27,1.30,,,107,100,,7.30
2024-06-27,96,27.2,,,104,,,537,,,,5.03,,,,,,,,,,,,,1000,,<0.5,70,,27.6,0.79,,,113,108,,7.47
2024-06-28,96,19.1,,,136,,,396,,,,6.24,,,,,,,,,,,,,1000,,<0.5,117,,25.8,0.48,,,84,80,,6.30
2024-06-29,96,21.1,,,129,,,365,,,,2.03,,,,,,,,,,,,,1000,,<0.5,81,,28.9,0.52,,,97,93,,7.49
2024-06-30,94,20.8,,,133,,,391,,,,1.35,,,,,,,,,,,,,1000,,<0.5,51,,32.2,1.42,,,106,100,,7.53
2024-07-01,95,37,,,120,,,398,,,,8.90,,,,,,,,,,,20.4,8.1,1000,,<0.5,52,,36.1,1.17,,57.6,102,97,,7.36
2024-07-02,99,36.6,,,114,,,386,,,,6.08,,,,,,,,,,,,,1000,,<0.5,40,,42.8,2.08,,,107,106,,7.23
2024-07-03,93,24.2,,,114,,,372,,,,5.32,,,,,,,,,,,,,1000,,<0.5,59,,33.1,3.45,,,103,96,,7.32
2024-07-04,94,24.6,,,150,,,450,,,,3.21,,,,,,,,,,,,,1000,,<0.5,73,,25.8,0.91,,,110,104,,7.41
2024-07-05,94,29.4,,,132,,,396,,,,5.99,,,,,,,,,,,,,1000,,<0.5,59,,26.5,0.37,,,109,103,,7.33
2024-07-06,98,30,,,144,,,113,,,,7.89,,,,,,,,,,,,,1000,,<0.5,93,,27.7,0.82,,,102,100,,7.54
2024-07-07,95,34.6,,,115,,,393,,,,3.79,,,,,,,,,,,,,1000,,<0.5,60,,32.6,1.45,,,104,99,,7.52
2024-07-08,98.1981982,33.2,,,137,,,414,,,,0.99,,,,,,,,,,,,,1000,,<0.5,106,,29.2,0.68,,,111,109,,7.44
2024-07-09,95,35.6,,,273,,,589,,,,7.60,,,,,,,,,,,,,1000,,<0.5,222,,22.8,3.80,,,119,113,,7.47
2024-07-10,93.69369369,27.4,,,189,,,483,,,,6.48,,,,,,,,,,,,,1000,,<0.5,127,,28.4,2.93,,,111,104,,7.45
2024-07-11,96,31,,,186,,,464,,,,6.94,,,,,,,,,,,,,1000,,<0.5,98,,29.2,2.09,,,108,104,,7.46
2024-07-12,95,33.2,,,238,,,542,,,,3.55,,,,,,,,,,,,,1000,,<0.5,169,,21.4,0.18,,,111,106,,6.26
2024-07-13,94,33.8,,,123,,,568,,,,4.21,,,,,,,,,,,,,1000,,<0.5,149,,23.6,0.93,,,143,134,,7.47
2024-07-14,95,31.2,,,155,,,480,,,,6.55,,,,,,,,,,,,,1000,,<0.5,87,,28,2.57,,,101,96,,7.48
2024-07-15,93,36.4,,,153,,,476,,,,7.86,,,,,,,,,,,,,1000,,<0.5,97,,37.7,0.53,,,133,124,,7.44
2024-07-16,93,42.2,,,146,,,638,,,,7.58,,,,,,,,,,,,,1000,,<0.5,168,,20.3,2.70,,,140,130,,7.32
2024-07-17,95,35.4,,,231,,,556,,,,8.76,,,,,,,,,,,,,1000,,<0.5,121,,33.1,1.78,,,124,118,,7.45
2024-07-18,92,34.4,,,246,,,579,,,,1.02,,,,,,,,,,,,,1000,,<0.5,124,,24.6,0.89,,,193,177,,7.38
2024-07-19,93,26.2,,,202,,,372,,,,7.89,,,,,,,,,,,,,1000,,<0.5,70,,33.3,0.61,,,109,101,,7.28
2024-07-20,95,29.4,,,158,,,403,,,,7.84,,,,,,,,,,,,,1000,,<0.5,99,,28.9,0.15,,,99,94,,6.47
2024-07-21,95,28.4,,,132,,,431,,,,0.78,,,,,,,,,,,,,1000,,<0.5,99,,22.3,0.39,,,103,98,,7.56
2024-07-22,94,32.2,,,156,,,466,,,,7.63,,,,,,,,,,,,,1000,,<0.5,69,,30.5,0.39,,,129,121,,7.45
2024-07-23,93,27.8,,,173,,,464,,,,5.41,,,,,,,,,,,,,1000,,<0.5,117,,38.2,0.23,,,133,124,,7.33
2024-07-24,91,21.4,,,140,,,405,,,,2.12,,,,,,,,,,,,,1000,,<0.5,56,,38.1,0.32,,,123,112,,7.32
2024-07-25,92,33.8,,,148,,,2180,,,,6.30,,,,,,,,,,,,,1000,,<0.5,65,,42.8,0.82,,,98,89,,7.26
2024-07-26,84,22.2,,,170,,,657,,,,1.85,,,,,,,,,,,,,1000,,5,51,,31,0.95,,,211,177,,7.30
2024-07-27,93,17.9,,,114,,,334,,,,5.29,,,,,,,,,,,,,1000,,<0.5,70,,33.6,2.84,,,77,72,,7.30
2024-07-28,79,21.2,,,82,,,301,,,,7.16,,,,,,,,,,,,,1000,,<0.5,46,,34.5,0.66,,,76,60,,7.40
2024-07-29,72,24,,,125,,,372,,,,5.98,,,,,,,,,,,,,1000,,<0.5,54,,35.2,0.52,,,57,41,,7.43
2024-07-30,93,21.8,,,116,,,396,,,,4.85,,,,,,,,,,,,,1000,,<0.5,54,,42.9,3.54,,,107,100,,7.32
2024-07-31,97,23.6,,,101,,,339,,,,6.38,,,,,,,,,,,,,1000,,<0.5,44,,42.7,1.44,,,49,47,,7.43
2024-08-01,91,30.2,,,67,,,268,,,,5.61,,,,,,,,,,,4.4,2.94,1000,,<0.5,28,,39.8,2.26,,34.6,53,49,,7.49
2024-08-02,91,31.8,,,32,,,178,,,,8.41,,,,,,,,,,,,,1000,,<0.5,23,,38.8,1.15,,,43,40,,7.63
2024-08-03,87,25.2,,,48,,,192,,,,7.19,,,,,,,,,,,,,1000,,<0.5,29,,36.1,1.90,,,48,41,,7.61
2024-08-04,94,19.8,,,37,,,185,,,,6.73,,,,,,,,,,,,,1000,,<0.5,25,,36.2,1.23,,,33,31,,7.53
2024-08-05,96,18.6,,,62,,,220,,,,6.08,,,,,,,,,,,,,1000,,<0.5,32,,27.8,0.97,,,51,49,,7.45
2024-08-06,98,18.5,,,97,,,292,,,,8.36,,,,,,,,,,,,,1000,,<0.5,63,,30,0.63,,,47,47,,7.52
2024-08-07,93,25.8,,,246,,,540,,,,6.76,,,,,,,,,,,,,1000,,<0.5,247,,26.8,4.74,,,82,77,,7.31
2024-08-08,99,31.3,,,342,,,629,,,,7.78,,,,,,,,,,,,,1000,,<0.5,284,,15.1,1.35,,,59,59,,7.37
2024-08-09,92,39.2,,,175,,,414,,,,5.68,,,,,,,,,,,,,1000,,<0.5,109,,34.6,2.31,,,69,64,,7.48
2024-08-10,92,29,,,114,,,362,,,,5.72,,,,,,,,,,,,,1000,,<0.5,91,,35.7,2.96,,,86,80,,7.48
2024-08-11,100,28.2,,,117,,,346,,,,2.56,,,,,,,,,,,,,1000,,<0.5,84,,36,2.57,,,74,74,,7.47
2024-08-12,96,27.8,,,89,,,364,,,,7.67,,,,,,,,,,,,,1000,,<0.5,51,,32.1,0.40,,,83,80,,7.51
2024-08-13,98,28.2,,,137,,,371,,,,8.20,,,,,,,,,,,,,1000,,<0.5,73,,31,3.00,,,77,76,,7.44
2024-08-14,99,32.7,,,168,,,465,,,,8.00,,,,,,,,,,,,,1000,,<0.5,101,,23.4,0.58,,,114,113,,7.45
2024-08-15,93,25.3,,,162,,,395,,,,5.45,,,,,,,,,,,,,1000,,<0.5,85,,26.9,0.88,,,102,95,,7.31
2024-08-16,97,27.3,,,147,,,432,,,,2.82,,,,,,,,,,,,,1000,,<0.5,83,,30,0.09,,,112,109,,7.43
2024-08-17,98,32.5,,,211,,,528,,,,0.51,,,,,,,,,,,,,1000,,<0.5,148,,20.6,0.74,,,135,132,,7.45
2024-08-18,95,35.1,,,106,,,514,,,,7.44,,,,,,,,,,,,,1000,,<0.5,130,,24,0.59,,,119,113,,7.04
2024-08-19,98,26.7,,,102,,,336,,,,4.31,,,,,,,,,,,,,1000,,<0.5,49,,36.3,0.22,,,91,89,,7.44
