SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Lead,Mercury,Method Reference,Molybdenum,Nickel,Oil and Grease (HEM),Phosphorus-total,SARS-COV2,Sample Amount,Selenium,Settleable Solids,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,Volatile Acids,Volatile Suspended Solids,Zinc,pH
2024-06-01,85,,,,586,,1750,,,,,,,,,,,,1000,,41,,31.1,0.68,,814,276,690,,6.66
2024-06-02,84,,,,613,,1840,,,,,,,,,,18.7,,1000,,40,,31.5,0.46,93.5,875,311,735,,6.51
2024-06-03,87,,,,521,,1940,,,,,,,,,,,145660,1000,,40,,40.9,0.00,,846,311,732,,6.40
2024-06-04,91,,,,703,,1560,,,,,,,,,,,,1000,,7,,72.2,3.23,,373,332,341,,6.52
2024-06-05,82,,,,678,,2010,,,,,,,,,,,,1000,,47,,35.7,0.00,,908,338,745,,6.48
2024-06-06,90,,,,611,,1630,,,,,,,,,,,,1000,,22,,40.8,1.12,,629,288,563,,6.79
2024-06-07,88,,,,917,,2110,,,,,,,,,,,,1000,,40,,34.6,0.36,,858,365,751,,6.30
2024-06-08,88,,,,827,,2270,,,,,,,,,,,,1000,,50,,47.4,0.88,,972,430,851,,6.46
2024-06-09,89,,,,855,,2330,,,,,,,,,,,,1000,,66,,37,0.25,,1021,484,908,,6.55
2024-06-10,86,,,,1254,,2210,,,,,,,,,,,,1000,,82,,40.8,0.22,,1144,350,987,,6.51
2024-06-11,86,,,,751,,2410,,,,,,,,,,,,1000,,80,,47.8,0.72,,1152,475,990,,6.32
2024-06-12,89,,,,715,,2420,,,,,,,,,,,,1000,,88,,37.8,0.50,,1178,392,1048,,6.22
2024-06-13,90,,,,576,,1600,,,,,,,,,,,,1000,,21,,51.1,0.92,,595,285,534,,6.12
2024-06-14,92,,,,706,,1610,,,,,,,,,,,,1000,,19,,46.8,0.86,,584,445,535,,6.47
2024-06-15,95,,,,823,,1880,,,,,,,,,,,,1000,,15,,36.4,1.01,,693,406,659,,6.59
2024-06-16,92,,,,742,,1620,,,,,,,,,,,,1000,,14,,36.5,1.32,,605,362,556,,6.63
2024-06-17,88,,,,639,,1390,,,,,,,,,,,,1000,,13,,36,1.07,,500,162,441,,6.42
2024-06-18,72,,,,847,,1870,,,,,,,,,,,,1000,,20,,55.9,1.15,,957,168,687,,6.77
2024-06-19,90,,,,688,,1520,,,,,,,,,,,,1000,,12,,35.8,1.39,,432,282,388,,7.39
2024-06-20,86,,,,711,,1740,,,,,,,,,,,,1000,,14,,40.3,0.11,,610,302,523,,6.35
2024-06-21,94,,,,620,,1550,,,,,,,,,,,,1000,,8,,46,0.21,,472,314,442,,6.60
2024-06-22,91,,,,603,,1400,,,,,,,,,,,,1000,,12,,35.8,0.29,,520,273,472,,6.40
2024-06-23,89,,,,577,,1700,,,,,,,,,,,,1000,,12,,33.5,0.42,,594,294,530,,6.45
2024-06-24,84,,,,663,,1730,,,,,,,,,,,,1000,,30,,50.9,0.33,,767,329,646,,6.29
2024-06-25,87,,,,725,,1850,,,,,,,,,,,,1000,,34,,41.4,0.35,,712,361,622,,6.30
2024-06-26,90,,,,785,,2140,,,,,,,,,,,121010,1000,,30,,48.6,0.83,,503,435,451,,6.17
2024-06-27,91,,,,688,,1870,,,,,,,,,,,,1000,,26,,34.2,0.80,,723,314,661,,6.36
2024-06-28,92,,,,736,,1610,,,,,,,,,,,,1000,,10,,33.9,0.27,,743,426,681,,7.36
2024-06-29,64,,,,806,,1550,,,,,,,,,,,,1000,,13,,44.3,0.40,,757,370,485,,6.21
2024-06-30,90,,,,729,,1440,,,,,,,,,,,,1000,,9,,35.8,0.61,,529,282,476,,6.39
2024-07-01,83,,,,520,,1530,,,,,,,,,,30.2,136554,1000,,16,,49.7,0.42,104,635,139,526,,6.78
2024-07-02,94,,,,616,,1630,,,,,,,,,,,,1000,,13,,31.2,2.40,,604,308,568,,6.06
2024-07-03,91,,,,882,,1800,,,,,,,,,,,201951.8,1000,,16,,33.3,0.77,,647,358,592,,6.15
2024-07-04,93,,,,703,,1750,,,,,,,,,,,,1000,,16,,41.4,0.08,,632,326,587,,6.34
2024-07-05,91,,,,715,,1730,,,,,,,,,,,,1000,,14,,33.4,0.32,,619,329,563,,6.40
2024-07-06,92,,,,821,,1950,,,,,,,,,,,,1000,,14,,38.3,0.23,,660,452,604,,6.40
2024-07-07,92,,,,576,,1640,,,,,,,,,,,,1000,,12,,34.6,0.16,,644,323,592,,6.58
2024-07-08,93,,,,744,,1890,,,,,,,,,,,,1000,,24,,37,0.13,,780,282,723,,6.36
2024-07-09,84,,,,605,,1740,,,,,,,,,,,,1000,,20,,37.3,1.15,,783,343,658,,6.41
2024-07-10,89,,,,718,,2060,,,,,,,,,,,,1000,,25,,41.1,1.29,,852,346,757,,6.48
2024-07-11,88,,,,1456,,1830,,,,,,,,,,,,1000,,25,,41.9,0.13,,741,361,654,,6.15
2024-07-12,87,,,,757,,2210,,,,,,,,,,,,1000,,44,,44.5,0.05,,919,391,802,,7.49
2024-07-13,86,,,,739,,2140,,,,,,,,,,,,1000,,41,,49.2,0.54,,934,361,802,,6.37
2024-07-14,83,,,,574,,2080,,,,,,,,,,,,1000,,42,,42.2,0.94,,1062,317,887,,6.45
2024-07-15,89,,,,684,,2160,,,,,,,,,,,313831.2,1000,,39,,45.3,1.97,,881,326,787,,6.42
2024-07-16,85,,,,774,,2280,,,,,,,,,,,,1000,,41,,45.8,0.45,,1092,222,931,,6.19
2024-07-17,77,,,,615,,2100,,,,,,,,,,,,1000,,67,,46.8,2.24,,1182,349,910,,6.45
2024-07-18,80,,,,628,,1970,,,,,,,,,,,,1000,,42,,1.72,1.82,,1098,267,874,,6.41
2024-07-19,84,,,,836,,2240,,,,,,,,,,,,1000,,60,,52.8,0.78,,1155,382,968,,6.47
2024-07-20,84,,,,914,,2470,,,,,,,,,,,,1000,,44,,40.1,0.66,,1361,471,1138,,6.17
2024-07-21,83,,,,806,,2330,,,,,,,,,,,,1000,,60,,41.7,0.32,,1263,405,1047,,6.26
2024-07-22,84,,,,602,,2450,,,,,,,,,,,210847.7,1000,,60,,52.4,0.41,,1229,415,1038,,6.52
2024-07-23,87,,,,648,,2120,,,,,,,,,,,,1000,,50,,44.6,0.09,,1104,333,958,,6.34
2024-07-24,82,,,,497,,2050,,,,,,,,,,,,1000,,47,,38.2,0.36,,1120,303,914,,6.38
2024-07-25,80,,,,754,,400,,,,,,,,,,,,1000,,48,,39.7,0.24,,1255,156,1005,,6.24
2024-07-26,77,,,,661,,2090,,,,,,,,,,,,1000,,41,,36.3,0.45,,1188,276,916,,6.37
2024-07-27,79,,,,638,,1940,,,,,,,,,,,,1000,,43,,30.1,1.10,,1092,164,858,,6.41
2024-07-28,82,,,,656,,2250,,,,,,,,,,,,1000,,62,,44.4,0.29,,1021,303,839,,6.49
2024-07-29,85,,,,389,,1800,,,,,,,,,,,,1000,,44,,32.1,0.08,,1281,120,1085,,6.65
