SampleName,StartDate,EndDate
Maxson Operations Data (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
MX25AUG01-01-001,Maxson Operations Data (08-01-2025),8/1/2025,% Solids (Generated Monthly-MOR),0.98,0.98,,%
MX25AUG01-01-001,Maxson Operations Data (08-01-2025),8/1/2025,Qty Wet Sludge Disposed,87374.00,87374.00,,Gallons/Month
MX25AUG01-01-001,Maxson Operations Data (08-01-2025),8/1/2025,Qty Wet Sludge Generated,2287869.00,2287869.00,,Gallons/Month
MX25AUG01-01-001,Maxson Operations Data (08-01-2025),8/1/2025,Volatile Solids Reduction Waste Sludge to Disposal,72.32,72.32,,mg/L
MX25AUG01-01-001,Maxson Operations Data (08-01-2025),8/1/2025,Weight of Sludge(Dry) Disposed,78.00,78.00,,Metric Tons/Month
MX25AUG01-01-001,Maxson Operations Data (08-01-2025),8/1/2025,Weight of Sludge(Dry) Generated,85.00,85.00,,Metric Tons/Month
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,% VOL. RED.,,,,%
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Cake Dry Tons/Day,,,,Tons/Day
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Dissolved O2 - North,1.60,1.60,,mg/L
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,"Dissolved Oxygen, Effluent",6.30,6.30,,mg/L
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,"Dissolved Oxygen, Influent",0.90,0.90,,mg/L
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,"Flow(MAX), Influent",66.10,66.10,,MGD
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,"Flow, Effluent",,,,MGD
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,"Flow, Influent",49.00,49.00,,MGD
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Hours Bypassed,0.00,0.00,,
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Peracetic Acid,0.00,0.00,,ppm
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,pH - Effluent (Max),7.13,7.13,,pH Units
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,pH - Effluent (Min),7.04,7.04,,pH Units
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,pH - Influent,5.30,5.30,,pH Units
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Pounds of Chlorine - Effluent,,,,pH Units
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Pounds of Sulfur Dioxide - Effluent,,,,pH Units
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Rainfall,0.00,0.00,,inch
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Temperature - DIG.SDG.,20.90,20.90,,C
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Temperature - Effluent,26.80,26.80,,C
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Temperature - Influent,26.40,26.40,,C
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Temperature - North,28.50,28.50,,C
MX25AUG01-02-001,Maxson Operations Data (08-01-2025),8/1/2025,Wet Cake,,,,Gallons/Day
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,% VOL. RED.,,,,%
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,Cake Dry Tons/Day,,,,Tons/Day
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,Dissolved O2 - North,5.10,5.10,,mg/L
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,"Dissolved Oxygen, Effluent",3.30,3.30,,mg/L
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,"Dissolved Oxygen, Influent",0.80,0.80,,mg/L
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,"Flow(MAX), Influent",57.30,57.30,,MGD
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,"Flow, Effluent",,,,MGD
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,"Flow, Influent",49.20,49.20,,MGD
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,Hours Bypassed,0.00,0.00,,
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,Peracetic Acid,0.00,0.00,,ppm
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,pH - Effluent (Max),7.12,7.12,,pH Units
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,pH - Effluent (Min),6.99,6.99,,pH Units
MX25AUG02-01-001,Maxson Operations Data (08-02-2025),8/2/2025,pH - Influent,5.60,5.60,,pH Units
