SampleName,StartDate,EndDate
TEM Final Effluent (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,% Volatile Suspended Solids,95,95,,%
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Total Suspended Solids,85,85,,mg/L
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,TSS - Change in Wt,0.24,0.24,,%
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Volatile Suspended Solids,81,81,,mg/L
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Biochemical Oxygen Demand,66,66,,mg/L
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Dissolved Oxygen,7.36,7.36,,ppm
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,pH,7.36,7.36,,pH Units
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Sample Amount,1000,1000,,ml
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Settleable Solids,6,6,,ml/L
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Sulfur,33.8,33.8,,mg/L
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Ammonia as N,10.3,10.3,,mg/L
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,pH,7.35,7.35,,pH Units
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Soluble BOD,128,128,,mg/L
ST25AUG02-02-006  ,TEM Final Effluent (08-01-2025),8/1/2025,Chemical Oxygen Demand,360,360,,mg/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Biochemical Oxygen Demand,114,114,,mg/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Dissolved Oxygen,5.00,5.00,,ppm
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,pH,7.36,7.36,,pH Units
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Sample Amount,1000,1000,,ml
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Settleable Solids,23,23,,ml/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Sulfur,32.6,32.6,,mg/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Ammonia as N,8.7,8.7,,mg/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,pH,7.52,7.52,,pH Units
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Soluble BOD,35,35,,mg/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,% Volatile Suspended Solids,95,95,,%
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Total Suspended Solids,182,182,,mg/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,TSS - Change in Wt,0.33,0.33,,%
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Volatile Suspended Solids,172,172,,mg/L
ST25AUG03-02-006  ,TEM Final Effluent (08-02-2025),8/2/2025,Chemical Oxygen Demand,609,609,,mg/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Biochemical Oxygen Demand,100,100,,mg/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Dissolved Oxygen,4.02,4.02,,ppm
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,pH,7.26,7.26,,pH Units
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Sample Amount,1000,1000,,ml
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Settleable Solids,15,15,,ml/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Sulfur,30.4,30.4,,mg/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Ammonia as N,23.3,23.3,,mg/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,pH,7.45,7.45,,pH Units
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Soluble BOD,41,41,,mg/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,% Volatile Suspended Solids,100,100,,%
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Total Suspended Solids,88,88,,mg/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,TSS - Change in Wt,1.59,1.59,,%
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Volatile Suspended Solids,88,88,,mg/L
ST25AUG04-01-006  ,TEM Final Effluent (08-03-2025),8/3/2025,Chemical Oxygen Demand,269,269,,mg/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Biochemical Oxygen Demand,57,57,,mg/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Dissolved Oxygen,6.28,6.28,,ppm
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,pH,7.45,7.45,,pH Units
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Sample Amount,1000,1000,,ml
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Settleable Solids,3,3,,ml/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,% Volatile Suspended Solids,98,98,,%
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Total Suspended Solids,77,77,,mg/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,TSS - Change in Wt,1.04,1.04,,%
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Volatile Suspended Solids,75,75,,mg/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Sulfur,29.9,29.9,,mg/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Ammonia as N,13.4,13.4,,mg/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,pH,7.62,7.62,,pH Units
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Soluble BOD,29,29,,mg/L
ST25AUG05-01-006  ,TEM Final Effluent (08-04-2025),8/4/2025,Chemical Oxygen Demand,276,276,,mg/L
ST25AUG06-01-006  ,TEM Final Effluent (08-05-2025),8/5/2025,% Volatile Suspended Solids,95,95,,%
ST25AUG06-01-006  ,TEM Final Effluent (08-05-2025),8/5/2025,Total Suspended Solids,176,176,,mg/L
ST25AUG06-01-006  ,TEM Final Effluent (08-05-2025),8/5/2025,TSS - Change in Wt,0.34,0.34,,%
ST25AUG06-01-006  ,TEM Final Effluent (08-05-2025),8/5/2025,Volatile Suspended Solids,168,168,,mg/L
ST25AUG06-01-006  ,TEM Final Effluent (08-05-2025),8/5/2025,Biochemical Oxygen Demand,105,105,,mg/L
ST25AUG06-01-006  ,TEM Final Effluent (08-05-2025),8/5/2025,Dissolved Oxygen,5.68,5.68,,ppm
ST25AUG06-01-006  ,TEM Final Effluent (08-05-2025),8/5/2025,pH,7.39,7.39,,pH Units
