SampleName,StartDate,EndDate
TEM Influent (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Biochemical Oxygen Demand,1000,1000,,mg/L
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,pH,6.64,6.64,,pH Units
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Total Suspended Solids,502,502,,mg/L
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,TSS - Change in Wt,1.33,1.33,,%
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Volatile Suspended Solids,467,467,,mg/L
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Sample Amount,1000,1000,,ml
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Settleable Solids,22,22,,ml/L
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Sulfur,27.2,27.2,,mg/L
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Ammonia as N,18.5,18.5,,mg/L
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Volatile Acids,303,303,,mg/L
ST25AUG02-02-001,TEM Influent (08-01-2025),8/1/2025,Chemical Oxygen Demand,1606,1606,,mg/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Biochemical Oxygen Demand,710,710,,mg/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,pH,7.10,7.10,,pH Units
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Total Suspended Solids,464,464,,mg/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,TSS - Change in Wt,0.44,0.44,,%
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Volatile Suspended Solids,419,419,,mg/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Sample Amount,1000,1000,,ml
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Settleable Solids,23,23,,ml/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Sulfur,32.1,32.1,,mg/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Ammonia as N,18.4,18.4,,mg/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Volatile Acids,360,360,,mg/L
ST25AUG03-02-001,TEM Influent (08-02-2025),8/2/2025,Chemical Oxygen Demand,1590,1590,,mg/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Biochemical Oxygen Demand,637,637,,mg/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,pH,6.76,6.76,,pH Units
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Sample Amount,1000,1000,,ml
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Settleable Solids,10,10,,ml/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,% Volatile Suspended Solids,100,100,,%
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Total Suspended Solids,304,304,,mg/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,TSS - Change in Wt,3.29,3.29,,%
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Volatile Suspended Solids,305,305,,mg/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Sulfur,30.6,30.6,,mg/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Ammonia as N,16.9,16.9,,mg/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Volatile Acids,306,306,,mg/L
ST25AUG04-01-001,TEM Influent (08-03-2025),8/3/2025,Chemical Oxygen Demand,1416,1416,,mg/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Biochemical Oxygen Demand,466,466,,mg/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,pH,6.26,6.26,,pH Units
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Sample Amount,1000,1000,,ml
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Settleable Solids,11,11,,ml/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,% Volatile Suspended Solids,97,97,,%
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Total Suspended Solids,411,411,,mg/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,TSS - Change in Wt,3.88,3.88,,%
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Volatile Suspended Solids,399,399,,mg/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Sulfur,30.8,30.8,,mg/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Ammonia as N,18.9,18.9,,mg/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Volatile Acids,369,369,,mg/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,SARS-COV2,20880,20880,,cop/L
ST25AUG05-01-001,TEM Influent (08-04-2025),8/4/2025,Chemical Oxygen Demand,1502,1502,,mg/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Biochemical Oxygen Demand,722,722,,mg/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,pH,6.51,6.51,,pH Units
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,% Volatile Suspended Solids,97,97,,%
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Total Suspended Solids,416,416,,mg/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,TSS - Change in Wt,0.12,0.12,,%
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Volatile Suspended Solids,402,402,,mg/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Sample Amount,1000,1000,,ml
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Settleable Solids,14,14,,ml/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Sulfur,38.1,38.1,,mg/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Ammonia as N,20,20,,mg/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Volatile Acids,369,369,,mg/L
ST25AUG06-01-001,TEM Influent (08-05-2025),8/5/2025,Chemical Oxygen Demand,1772,1772,,mg/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Biochemical Oxygen Demand,848,848,,mg/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,pH,6.75,6.75,,pH Units
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Total Suspended Solids,532,532,,mg/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,TSS - Change in Wt,0.40,0.40,,%
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Volatile Suspended Solids,477,477,,mg/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Sample Amount,1000,1000,,ml
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Settleable Solids,11,11,,ml/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Sulfur,37.7,37.7,,mg/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Ammonia as N,21.7,21.7,,mg/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Volatile Acids,345,345,,mg/L
ST25AUG07-01-001,TEM Influent (08-06-2025),8/6/2025,Chemical Oxygen Demand,1904,1904,,mg/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Biochemical Oxygen Demand,820,820,,mg/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,pH,6.55,6.55,,pH Units
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Sample Amount,1000,1000,,ml
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Settleable Solids,13,13,,ml/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,% Volatile Suspended Solids,92,92,,%
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Total Suspended Solids,592,592,,mg/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,TSS - Change in Wt,2.36,2.36,,%
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Volatile Suspended Solids,545,545,,mg/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Sulfur,26.1,26.1,,mg/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Ammonia as N,16.5,16.5,,mg/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Volatile Acids,330,330,,mg/L
ST25AUG08-01-001,TEM Influent (08-07-2025),8/7/2025,Chemical Oxygen Demand,1136,1136,,mg/L
