SampleName,StartDate,EndDate
TEM ABF Effluent (TF 1) (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25AUG01-06-036,TEM ABF Effluent (TF 1) (08-01-2025),8/1/2025,pH,7.70,7.70,,pH Units
ST25AUG01-06-036,TEM ABF Effluent (TF 1) (08-01-2025),8/1/2025,Soluble BOD,43,43,,mg/L
ST25AUG02-02-033 ,TEM ABF Effluent (08-01-2025),8/1/2025,% Volatile Suspended Solids,92,92,,%
ST25AUG02-02-033 ,TEM ABF Effluent (08-01-2025),8/1/2025,Total Suspended Solids,377,377,,mg/L
ST25AUG02-02-033 ,TEM ABF Effluent (08-01-2025),8/1/2025,Volatile Suspended Solids,349,349,,mg/L
ST25AUG02-02-033 ,TEM ABF Effluent (08-01-2025),8/1/2025,pH,7.42,7.42,,pH Units
ST25AUG02-02-033 ,TEM ABF Effluent (08-01-2025),8/1/2025,Soluble BOD,79,79,,mg/L
ST25AUG03-02-033 ,TEM ABF Effluent (08-02-2025),8/2/2025,% Volatile Suspended Solids,99,99,,%
ST25AUG03-02-033 ,TEM ABF Effluent (08-02-2025),8/2/2025,Total Suspended Solids,310,310,,mg/L
ST25AUG03-02-033 ,TEM ABF Effluent (08-02-2025),8/2/2025,Volatile Suspended Solids,308,308,,mg/L
ST25AUG03-02-033 ,TEM ABF Effluent (08-02-2025),8/2/2025,pH,7.71,7.71,,pH Units
ST25AUG03-02-033 ,TEM ABF Effluent (08-02-2025),8/2/2025,Soluble BOD,93,93,,mg/L
ST25AUG04-01-034 ,TEM ABF Effluent (08-03-2025),8/3/2025,% Volatile Suspended Solids,99,99,,%
ST25AUG04-01-034 ,TEM ABF Effluent (08-03-2025),8/3/2025,Total Suspended Solids,206,206,,mg/L
ST25AUG04-01-034 ,TEM ABF Effluent (08-03-2025),8/3/2025,Volatile Suspended Solids,204,204,,mg/L
