SampleName,StartDate,EndDate
TEM Final Effluent (06-01-2024),6/1/2024,6/1/2025

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,% Volatile Suspended Solids,93,93,,%
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Total Suspended Solids,155,155,,mg/L
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,TSS - Change in Wt,4.97,4.97,,%
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Volatile Suspended Solids,144,144,,mg/L
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Biochemical Oxygen Demand,146,146,!,mg/L
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Dissolved Oxygen,5.09,5.09,,ppm
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,pH,7.80,7.80,,pH Units
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Sample Amount,1000,1000,,ml
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Settleable Solids,<0.5,<0.5,,ml/L
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Sulfur,25.9,25.9,,mg/L
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Ammonia as N,55.9,55.9,,mg/L
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Chemical Oxygen Demand,438,438,,mg/L
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,pH,7.92,7.92,,pH Units
ST24JUN02-02-006  ,TEM Final Effluent (06-01-2024),6/1/2024,Soluble BOD,46,46,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Biochemical Oxygen Demand,105,105,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Dissolved Oxygen,1.03,1.03,,ppm
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,pH,7.38,7.38,,pH Units
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Sample Amount,1000,1000,,ml
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Settleable Solids,<0.5,<0.5,,ml/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Sulfur,25.9,25.9,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Chemical Oxygen Demand,363,363,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Ammonia as N,32.1,32.1,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Organic Nitrogen,7.1,7.1,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Total Nitrogen,39.2,39.2,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Phosphorus-total,8.2,8.2,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Total Suspended Solids,132,132,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,TSS - Change in Wt,0.91,0.91,,%
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Volatile Suspended Solids,117,117,,mg/L
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,pH,7.71,7.71,,pH Units
ST24JUN03-01-006  ,TEM Final Effluent (06-02-2024),6/2/2024,Soluble BOD,53,53,,mg/L
ST24JUN04-01-006  ,TEM Final Effluent (06-03-2024),6/3/2024,Biochemical Oxygen Demand,105,105,,mg/L
