SampleName,StartDate,EndDate
TEM Influent (06-01-2024),6/1/2024,6/1/2025

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Biochemical Oxygen Demand,586,586,,mg/L
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,pH,6.66,6.66,,pH Units
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,% Volatile Suspended Solids,85,85,,%
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Total Suspended Solids,814,814,,mg/L
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,TSS - Change in Wt,0.68,0.68,,%
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Volatile Suspended Solids,690,690,,mg/L
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Sample Amount,1000,1000,,ml
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Settleable Solids,41,41,,ml/L
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Sulfur,31.1,31.1,,mg/L
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Chemical Oxygen Demand,1750,1750,,mg/L
ST24JUN02-02-001,TEM Influent (06-01-2024),6/1/2024,Volatile Acids,276,276,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Biochemical Oxygen Demand,613,613,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,pH,6.51,6.51,,pH Units
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Sample Amount,1000,1000,,ml
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Settleable Solids,40,40,,ml/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,% Volatile Suspended Solids,84,84,,%
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Total Suspended Solids,875,875,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,TSS - Change in Wt,0.46,0.46,,%
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Volatile Suspended Solids,735,735,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Sulfur,31.5,31.5,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Chemical Oxygen Demand,1840,1840,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Volatile Acids,311,311,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Total Nitrogen,93.5,93.5,,mg/L
ST24JUN03-01-001,TEM Influent (06-02-2024),6/2/2024,Phosphorus-total,18.7,18.7,,mg/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Biochemical Oxygen Demand,521,521,,mg/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,pH,6.40,6.40,,pH Units
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Sample Amount,1000,1000,,ml
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Settleable Solids,40,40,,ml/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,% Volatile Suspended Solids,87,87,,%
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Total Suspended Solids,846,846,,mg/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,TSS - Change in Wt,0.00,0,,%
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Volatile Suspended Solids,732,732,,mg/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Sulfur,40.9,40.9,,mg/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Chemical Oxygen Demand,1940,1940,,mg/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,SARS-COV2,145660,145660,,cop/L
ST24JUN04-01-001,TEM Influent (06-03-2024),6/3/2024,Volatile Acids,311,311,,mg/L
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Biochemical Oxygen Demand,703,703,,mg/L
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,pH,6.52,6.52,,pH Units
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,% Volatile Suspended Solids,91,91,,%
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Total Suspended Solids,373,373,,mg/L
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,TSS - Change in Wt,3.23,3.23,,%
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Volatile Suspended Solids,341,341,,mg/L
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Sample Amount,1000,1000,,ml
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Settleable Solids,7,7,,ml/L
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Sulfur,72.2,72.2,,mg/L
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Chemical Oxygen Demand,1560,1560,,mg/L
ST24JUN05-01-001,TEM Influent (06-04-2024),6/4/2024,Volatile Acids,332,332,,mg/L
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Biochemical Oxygen Demand,678,678,,mg/L
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,pH,6.48,6.48,,pH Units
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,% Volatile Suspended Solids,82,82,,%
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Total Suspended Solids,908,908,,mg/L
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,TSS - Change in Wt,0.00,0,,%
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Volatile Suspended Solids,745,745,,mg/L
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Sample Amount,1000,1000,,ml
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Settleable Solids,47,47,,ml/L
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Sulfur,35.7,35.7,,mg/L
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Chemical Oxygen Demand,2010,2010,,mg/L
ST24JUN06-01-001,TEM Influent (06-05-2024),6/5/2024,Volatile Acids,338,338,,mg/L
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Biochemical Oxygen Demand,611,611,,mg/L
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,pH,6.79,6.79,,pH Units
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Sample Amount,1000,1000,,ml
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Settleable Solids,22,22,,ml/L
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,% Volatile Suspended Solids,90,90,,%
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Total Suspended Solids,629,629,,mg/L
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,TSS - Change in Wt,1.12,1.12,,%
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Volatile Suspended Solids,563,563,,mg/L
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Sulfur,40.8,40.8,,mg/L
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Chemical Oxygen Demand,1630,1630,,mg/L
ST24JUN07-01-001,TEM Influent (06-06-2024),6/6/2024,Volatile Acids,288,288,,mg/L
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Biochemical Oxygen Demand,917,917,,mg/L
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,pH,6.30,6.30,,pH Units
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Total Suspended Solids,858,858,,mg/L
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,TSS - Change in Wt,0.36,0.36,,%
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Volatile Suspended Solids,751,751,,mg/L
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Sample Amount,1000,1000,,ml
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Settleable Solids,40,40,,ml/L
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Sulfur,34.6,34.6,,mg/L
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Chemical Oxygen Demand,2110,2110,,mg/L
ST24JUN08-02-001,TEM Influent (06-07-2024),6/7/2024,Volatile Acids,365,365,,mg/L
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Biochemical Oxygen Demand,827,827,,mg/L
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,pH,6.46,6.46,,pH Units
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Total Suspended Solids,972,972,,mg/L
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,TSS - Change in Wt,0.88,0.88,,%
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Volatile Suspended Solids,851,851,,mg/L
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Sample Amount,1000,1000,,ml
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Settleable Solids,50,50,,ml/L
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Sulfur,47.4,47.4,,mg/L
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Chemical Oxygen Demand,2270,2270,,mg/L
ST24JUN09-02-001,TEM Influent (06-08-2024),6/8/2024,Volatile Acids,430,430,,mg/L
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Biochemical Oxygen Demand,855,855,,mg/L
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,pH,6.55,6.55,,pH Units
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Sample Amount,1000,1000,,ml
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Settleable Solids,66,66,,ml/L
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,% Volatile Suspended Solids,89,89,,%
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Total Suspended Solids,1021,1021,,mg/L
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,TSS - Change in Wt,0.25,0.25,,%
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Volatile Suspended Solids,908,908,,mg/L
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Sulfur,37,37,,mg/L
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Chemical Oxygen Demand,2330,2330,,mg/L
ST24JUN10-01-001,TEM Influent (06-09-2024),6/9/2024,Volatile Acids,484,484,,mg/L
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Biochemical Oxygen Demand,1254,1254,,mg/L
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,pH,6.51,6.51,,pH Units
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Sample Amount,1000,1000,,ml
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Settleable Solids,82,82,,ml/L
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,% Volatile Suspended Solids,86,86,,%
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Total Suspended Solids,1144,1144,,mg/L
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,TSS - Change in Wt,0.22,0.22,,%
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Volatile Suspended Solids,987,987,,mg/L
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Sulfur,40.8,40.8,,mg/L
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Chemical Oxygen Demand,2210,2210,,mg/L
ST24JUN11-01-001,TEM Influent (06-10-2024),6/10/2024,Volatile Acids,350,350,,mg/L
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Biochemical Oxygen Demand,751,751,,mg/L
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,pH,6.32,6.32,,pH Units
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,% Volatile Suspended Solids,86,86,,%
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Total Suspended Solids,1152,1152,,mg/L
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,TSS - Change in Wt,0.72,0.72,,%
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Volatile Suspended Solids,990,990,,mg/L
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Sample Amount,1000,1000,,ml
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Settleable Solids,80,80,,ml/L
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Sulfur,47.8,47.8,,mg/L
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Chemical Oxygen Demand,2410,2410,,mg/L
ST24JUN12-02-001,TEM Influent (06-11-2024),6/11/2024,Volatile Acids,475,475,,mg/L
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Biochemical Oxygen Demand,715,715,,mg/L
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,pH,6.22,6.22,,pH Units
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,% Volatile Suspended Solids,89,89,,%
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Total Suspended Solids,1178,1178,,mg/L
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,TSS - Change in Wt,0.50,0.50,,%
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Volatile Suspended Solids,1048,1048,,mg/L
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Sample Amount,1000,1000,,ml
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Settleable Solids,88,88,,ml/L
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Sulfur,37.8,37.8,,mg/L
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Chemical Oxygen Demand,2420,2420,,mg/L
ST24JUN13-01-001,TEM Influent (06-12-2024),6/12/2024,Volatile Acids,392,392,,mg/L
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Biochemical Oxygen Demand,576,576,,mg/L
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,pH,6.12,6.12,,pH Units
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Sample Amount,1000,1000,,ml
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Settleable Solids,21,21,,ml/L
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,% Volatile Suspended Solids,90,90,,%
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Total Suspended Solids,595,595,,mg/L
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,TSS - Change in Wt,0.92,0.92,,%
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Volatile Suspended Solids,534,534,,mg/L
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Sulfur,51.1,51.1,,mg/L
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Chemical Oxygen Demand,1600,1600,,mg/L
ST24JUN14-01-001,TEM Influent (06-13-2024),6/13/2024,Volatile Acids,285,285,,mg/L
