SampleName,StartDate,EndDate
TEM Primary Effluent (06-01-2024),6/1/2024,6/1/2025

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,Total Suspended Solids,1005,1005,,mg/L
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,TSS - Change in Wt,4.48,4.48,,%
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,Volatile Suspended Solids,885,885,,mg/L
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,Biochemical Oxygen Demand,598,598,,mg/L
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,pH,6.61,6.61,,pH Units
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,pH,6.49,6.49,,pH Units
ST24JUN02-02-021 ,TEM Primary Effluent (06-01-2024),6/1/2024,Soluble BOD,496,496,,mg/L
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,Biochemical Oxygen Demand,584,584,,mg/L
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,pH,6.51,6.51,,pH Units
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,% Volatile Suspended Solids,84,84,,%
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,Total Suspended Solids,572,572,,mg/L
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,TSS - Change in Wt,1.40,1.40,,%
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,Volatile Suspended Solids,482,482,,mg/L
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,pH,6.85,6.85,,pH Units
ST24JUN03-01-022 ,TEM Primary Effluent (06-02-2024),6/2/2024,Soluble BOD,378,378,,mg/L
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,Biochemical Oxygen Demand,561,561,,mg/L
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,pH,6.39,6.39,,pH Units
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,% Volatile Suspended Solids,85,85,,%
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,Total Suspended Solids,813,813,,mg/L
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,TSS - Change in Wt,1.64,1.64,,%
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,Volatile Suspended Solids,693,693,,mg/L
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,pH,6.69,6.69,,pH Units
ST24JUN04-01-022 ,TEM Primary Effluent (06-03-2024),6/3/2024,Soluble BOD,486,486,,mg/L
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,% Volatile Suspended Solids,68,68,,%
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,Total Suspended Solids,327,327,,mg/L
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,TSS - Change in Wt,2.04,2.04,,%
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,Volatile Suspended Solids,223,223,,mg/L
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,Biochemical Oxygen Demand,591,591,,mg/L
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,pH,6.30,6.30,,pH Units
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,pH,6.16,6.16,,pH Units
ST24JUN05-01-022 ,TEM Primary Effluent (06-04-2024),6/4/2024,Soluble BOD,533,533,,mg/L
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,% Volatile Suspended Solids,87,87,,%
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,Total Suspended Solids,444,444,,mg/L
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,TSS - Change in Wt,1.80,1.80,,%
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,Volatile Suspended Solids,388,388,,mg/L
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,Biochemical Oxygen Demand,622,622,,mg/L
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,pH,6.39,6.39,,pH Units
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,pH,6.80,6.80,,pH Units
ST24JUN06-01-022 ,TEM Primary Effluent (06-05-2024),6/5/2024,Soluble BOD,364,364,,mg/L
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,Biochemical Oxygen Demand,618,618,,mg/L
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,pH,6.51,6.51,,pH Units
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,Total Suspended Solids,615,615,,mg/L
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,TSS - Change in Wt,0.81,0.81,,%
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,Volatile Suspended Solids,543,543,,mg/L
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,pH,6.81,6.81,,pH Units
ST24JUN07-01-022 ,TEM Primary Effluent (06-06-2024),6/6/2024,Soluble BOD,443,443,,mg/L
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,% Volatile Suspended Solids,84,84,,%
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,Total Suspended Solids,620,620,,mg/L
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,TSS - Change in Wt,0.00,0,,%
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,Volatile Suspended Solids,523,523,,mg/L
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,Biochemical Oxygen Demand,928,928,,mg/L
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,pH,6.14,6.14,,pH Units
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,pH,6.74,6.74,,pH Units
ST24JUN08-02-021 ,TEM Primary Effluent (06-07-2024),6/7/2024,Soluble BOD,465,465,,mg/L
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,% Volatile Suspended Solids,85,85,,%
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,Total Suspended Solids,830,830,,mg/L
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,TSS - Change in Wt,0.00,0,,%
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,Volatile Suspended Solids,703,703,,mg/L
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,Biochemical Oxygen Demand,830,830,,mg/L
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,pH,6.43,6.43,,pH Units
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,pH,7.00,7.00,,pH Units
ST24JUN09-02-021 ,TEM Primary Effluent (06-08-2024),6/8/2024,Soluble BOD,350,350,,mg/L
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,Biochemical Oxygen Demand,891,891,,mg/L
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,pH,6.35,6.35,,pH Units
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,% Volatile Suspended Solids,84,84,,%
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,Total Suspended Solids,1065,1065,,mg/L
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,TSS - Change in Wt,2.35,2.35,,%
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,Volatile Suspended Solids,890,890,,mg/L
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,pH,6.92,6.92,,pH Units
ST24JUN10-01-022 ,TEM Primary Effluent (06-09-2024),6/9/2024,Soluble BOD,544,544,,mg/L
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,Biochemical Oxygen Demand,730,730,,mg/L
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,pH,6.38,6.38,,pH Units
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,% Volatile Suspended Solids,85,85,,%
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,Total Suspended Solids,885,885,,mg/L
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,TSS - Change in Wt,1.69,1.69,,%
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,Volatile Suspended Solids,750,750,,mg/L
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,pH,6.70,6.70,,pH Units
ST24JUN11-01-022 ,TEM Primary Effluent (06-10-2024),6/10/2024,Soluble BOD,452,452,,mg/L
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,Total Suspended Solids,710,710,,mg/L
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,TSS - Change in Wt,0.47,0.47,,%
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,Volatile Suspended Solids,623,623,,mg/L
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,Biochemical Oxygen Demand,636,636,,mg/L
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,pH,6.44,6.44,,pH Units
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,pH,6.53,6.53,,pH Units
ST24JUN12-02-022 ,TEM Primary Effluent (06-11-2024),6/11/2024,Soluble BOD,333,333,,mg/L
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,% Volatile Suspended Solids,84,84,,%
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,Total Suspended Solids,1265,1265,,mg/L
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,TSS - Change in Wt,1.52,1.52,,%
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,Volatile Suspended Solids,1062,1062,,mg/L
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,Biochemical Oxygen Demand,777,777,,mg/L
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,pH,6.18,6.18,,pH Units
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,pH,6.62,6.62,,pH Units
ST24JUN13-01-022 ,TEM Primary Effluent (06-12-2024),6/12/2024,Soluble BOD,626,626,,mg/L
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,Biochemical Oxygen Demand,587,587,,mg/L
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,pH,6.60,6.60,,pH Units
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,% Volatile Suspended Solids,84,84,,%
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,Total Suspended Solids,524,524,,mg/L
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,TSS - Change in Wt,0.76,0.76,,%
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,Volatile Suspended Solids,440,440,,mg/L
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,pH,6.59,6.59,,pH Units
ST24JUN14-01-022 ,TEM Primary Effluent (06-13-2024),6/13/2024,Soluble BOD,357,357,,mg/L
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,% Volatile Suspended Solids,91,91,,%
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,Total Suspended Solids,414,414,,mg/L
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,TSS - Change in Wt,0.48,0.48,,%
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,Volatile Suspended Solids,378,378,,mg/L
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,Biochemical Oxygen Demand,622,622,,mg/L
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,pH,6.50,6.50,,pH Units
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,pH,6.59,6.59,,pH Units
ST24JUN15-02-021 ,TEM Primary Effluent (06-14-2024),6/14/2024,Soluble BOD,563,563,,mg/L
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,% Volatile Suspended Solids,89,89,,%
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,Total Suspended Solids,450,450,,mg/L
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,TSS - Change in Wt,1.33,1.33,,%
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,Volatile Suspended Solids,402,402,,mg/L
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,Biochemical Oxygen Demand,865,865,,mg/L
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,pH,7.03,7.03,,pH Units
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,pH,6.14,6.14,,pH Units
ST24JUN16-02-021 ,TEM Primary Effluent (06-15-2024),6/15/2024,Soluble BOD,603,603,,mg/L
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,Biochemical Oxygen Demand,869,869,,mg/L
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,pH,6.11,6.11,,pH Units
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,Total Suspended Solids,505,505,,mg/L
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,TSS - Change in Wt,0.00,0,,%
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,Volatile Suspended Solids,443,443,,mg/L
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,pH,7.60,7.60,,pH Units
ST24JUN17-01-022 ,TEM Primary Effluent (06-16-2024),6/16/2024,Soluble BOD,544,544,!,mg/L
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,Biochemical Oxygen Demand,705,705,,mg/L
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,pH,6.11,6.11,,pH Units
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,% Volatile Suspended Solids,94,94,,%
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,Total Suspended Solids,550,550,,mg/L
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,TSS - Change in Wt,0.00,0,,%
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,Volatile Suspended Solids,515,515,,mg/L
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,pH,6.55,6.55,,pH Units
ST24JUN18-01-022 ,TEM Primary Effluent (06-17-2024),6/17/2024,Soluble BOD,484,484,,mg/L
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,% Volatile Suspended Solids,79,79,,%
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,Total Suspended Solids,636,636,,mg/L
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,TSS - Change in Wt,0.63,0.63,,%
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,Volatile Suspended Solids,502,502,,mg/L
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,Biochemical Oxygen Demand,1136,1136,,mg/L
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,pH,6.06,6.06,,pH Units
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,pH,6.62,6.62,,pH Units
ST24JUN19-01-022 ,TEM Primary Effluent (06-18-2024),6/18/2024,Soluble BOD,300,300,,mg/L
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,% Volatile Suspended Solids,87,87,,%
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,Total Suspended Solids,435,435,,mg/L
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,TSS - Change in Wt,0.38,0.38,,%
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,Volatile Suspended Solids,378,378,,mg/L
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,Biochemical Oxygen Demand,781,781,,mg/L
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,pH,6.33,6.33,,pH Units
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,pH,6.63,6.63,,pH Units
ST24JUN20-01-022 ,TEM Primary Effluent (06-19-2024),6/19/2024,Soluble BOD,450,450,,mg/L
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,Biochemical Oxygen Demand,862,862,,mg/L
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,pH,6.4,6.4,,pH Units
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,% Volatile Suspended Solids,91,91,,%
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,Total Suspended Solids,510,510,,mg/L
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,TSS - Change in Wt,0.65,0.65,,%
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,Volatile Suspended Solids,463,463,,mg/L
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,pH,6.47,6.47,,pH Units
ST24JUN21-01-022 ,TEM Primary Effluent (06-20-2024),6/20/2024,Soluble BOD,445,445,,mg/L
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,% Volatile Suspended Solids,83,83,,%
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,Total Suspended Solids,510,510,,mg/L
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,TSS - Change in Wt,1.96,1.96,,%
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,Volatile Suspended Solids,423,423,,mg/L
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,Biochemical Oxygen Demand,775,775,,mg/L
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,pH,6.27,6.27,,pH Units
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,pH,6.54,6.54,,pH Units
ST24JUN22-02-021 ,TEM Primary Effluent (06-21-2024),6/21/2024,Soluble BOD,525,525,,mg/L
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,% Volatile Suspended Solids,80,80,,%
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,Total Suspended Solids,405,405,,mg/L
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,TSS - Change in Wt,2.47,2.47,,%
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,Volatile Suspended Solids,325,325,,mg/L
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,Biochemical Oxygen Demand,620,620,,mg/L
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,pH,6.18,6.18,,pH Units
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,pH,6.23,6.23,,pH Units
ST24JUN23-02-021 ,TEM Primary Effluent (06-22-2024),6/22/2024,Soluble BOD,556,556,,mg/L
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,Biochemical Oxygen Demand,585,585,,mg/L
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,pH,6.44,6.44,,pH Units
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,% Volatile Suspended Solids,95,95,,%
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,Total Suspended Solids,423,423,,mg/L
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,TSS - Change in Wt,3.94,3.94,,%
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,Volatile Suspended Solids,403,403,,mg/L
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,pH,6.77,6.77,,pH Units
ST24JUN24-01-022 ,TEM Primary Effluent (06-23-2024),6/23/2024,Soluble BOD,210,210,,mg/L
ST24JUN25-01-022 ,TEM Primary Effluent (06-24-2024),6/24/2024,Biochemical Oxygen Demand,726,726,,mg/L
