SampleName,StartDate,EndDate
TEM Primary Influent (06-01-2024),6/1/2024,6/1/2025

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST24JUN02-02-017 ,TEM Primary Influent (06-01-2024),6/1/2024,Total Suspended Solids,980,980,,mg/L
ST24JUN02-02-017 ,TEM Primary Influent (06-01-2024),6/1/2024,TSS - Change in Wt,4.08,4.08,,%
ST24JUN03-01-017 ,TEM Primary Influent (06-02-2024),6/2/2024,Total Suspended Solids,748,748,,mg/L
ST24JUN03-01-017 ,TEM Primary Influent (06-02-2024),6/2/2024,TSS - Change in Wt,1.60,1.60,,%
ST24JUN03-01-017 ,TEM Primary Influent (06-02-2024),6/2/2024,Biochemical Oxygen Demand,534,534,,mg/L
ST24JUN03-01-017 ,TEM Primary Influent (06-02-2024),6/2/2024,pH,6.60,6.60,,pH Units
ST24JUN04-01-017 ,TEM Primary Influent (06-03-2024),6/3/2024,Total Suspended Solids,860,860,,mg/L
ST24JUN04-01-017 ,TEM Primary Influent (06-03-2024),6/3/2024,TSS - Change in Wt,0.78,0.78,,%
ST24JUN04-01-017 ,TEM Primary Influent (06-03-2024),6/3/2024,Biochemical Oxygen Demand,570,570,,mg/L
ST24JUN04-01-017 ,TEM Primary Influent (06-03-2024),6/3/2024,pH,6.52,6.52,,pH Units
ST24JUN05-01-017 ,TEM Primary Influent (06-04-2024),6/4/2024,Total Suspended Solids,475,475,,mg/L
ST24JUN05-01-017 ,TEM Primary Influent (06-04-2024),6/4/2024,TSS - Change in Wt,3.16,3.16,,%
ST24JUN05-01-017 ,TEM Primary Influent (06-04-2024),6/4/2024,Biochemical Oxygen Demand,747,747,,mg/L
ST24JUN05-01-017 ,TEM Primary Influent (06-04-2024),6/4/2024,pH,6.25,6.25,,pH Units
ST24JUN06-01-017 ,TEM Primary Influent (06-05-2024),6/5/2024,Total Suspended Solids,636,636,,mg/L
ST24JUN06-01-017 ,TEM Primary Influent (06-05-2024),6/5/2024,TSS - Change in Wt,0.63,0.63,,%
ST24JUN06-01-017 ,TEM Primary Influent (06-05-2024),6/5/2024,Biochemical Oxygen Demand,595,595,,mg/L
ST24JUN06-01-017 ,TEM Primary Influent (06-05-2024),6/5/2024,pH,6.49,6.49,,pH Units
ST24JUN07-01-017 ,TEM Primary Influent (06-06-2024),6/6/2024,Total Suspended Solids,748,748,,mg/L
ST24JUN07-01-017 ,TEM Primary Influent (06-06-2024),6/6/2024,TSS - Change in Wt,1.67,1.67,,%
ST24JUN07-01-017 ,TEM Primary Influent (06-06-2024),6/6/2024,Biochemical Oxygen Demand,599,599,,mg/L
ST24JUN07-01-017 ,TEM Primary Influent (06-06-2024),6/6/2024,pH,6.67,6.67,,pH Units
ST24JUN08-02-017 ,TEM Primary Influent (06-07-2024),6/7/2024,Total Suspended Solids,1053,1053,,mg/L
ST24JUN08-02-017 ,TEM Primary Influent (06-07-2024),6/7/2024,TSS - Change in Wt,1.27,1.27,,%
ST24JUN09-02-017 ,TEM Primary Influent (06-08-2024),6/8/2024,Total Suspended Solids,1057,1057,,mg/L
ST24JUN09-02-017 ,TEM Primary Influent (06-08-2024),6/8/2024,TSS - Change in Wt,1.58,1.58,,%
ST24JUN10-01-017 ,TEM Primary Influent (06-09-2024),6/9/2024,Total Suspended Solids,1075,1075,,mg/L
ST24JUN10-01-017 ,TEM Primary Influent (06-09-2024),6/9/2024,TSS - Change in Wt,0.47,0.47,,%
ST24JUN10-01-017 ,TEM Primary Influent (06-09-2024),6/9/2024,Biochemical Oxygen Demand,642,642,,mg/L
ST24JUN10-01-017 ,TEM Primary Influent (06-09-2024),6/9/2024,pH,6.56,6.56,,pH Units
