SampleName,StartDate,EndDate
TEM ABF Influent (06-01-2024),6/1/2024,6/1/2025

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST24JUN02-02-032 ,TEM ABF Influent (06-01-2024),6/1/2024,% Volatile Suspended Solids,82,82,,%
ST24JUN02-02-032 ,TEM ABF Influent (06-01-2024),6/1/2024,Total Suspended Solids,1935,1935,,mg/L
ST24JUN02-02-032 ,TEM ABF Influent (06-01-2024),6/1/2024,Volatile Suspended Solids,1590,1590,,mg/L
ST24JUN02-02-032 ,TEM ABF Influent (06-01-2024),6/1/2024,pH,6.46,6.46,,pH Units
ST24JUN02-02-032 ,TEM ABF Influent (06-01-2024),6/1/2024,Soluble BOD,566,566,,mg/L
ST24JUN03-01-033 ,TEM ABF Influent (06-02-2024),6/2/2024,% Volatile Suspended Solids,84,84,,%
ST24JUN03-01-033 ,TEM ABF Influent (06-02-2024),6/2/2024,Total Suspended Solids,690,690,,mg/L
ST24JUN03-01-033 ,TEM ABF Influent (06-02-2024),6/2/2024,Volatile Suspended Solids,577,577,,mg/L
ST24JUN03-01-033 ,TEM ABF Influent (06-02-2024),6/2/2024,pH,6.91,6.91,,pH Units
ST24JUN03-01-033 ,TEM ABF Influent (06-02-2024),6/2/2024,Soluble BOD,341,341,,mg/L
ST24JUN04-01-033 ,TEM ABF Influent (06-03-2024),6/3/2024,% Volatile Suspended Solids,90,90,,%
ST24JUN04-01-033 ,TEM ABF Influent (06-03-2024),6/3/2024,Total Suspended Solids,500,500,,mg/L
ST24JUN04-01-033 ,TEM ABF Influent (06-03-2024),6/3/2024,Volatile Suspended Solids,448,448,,mg/L
ST24JUN04-01-033 ,TEM ABF Influent (06-03-2024),6/3/2024,pH,6.69,6.69,,pH Units
ST24JUN04-01-033 ,TEM ABF Influent (06-03-2024),6/3/2024,Soluble BOD,463,463,,mg/L
ST24JUN05-01-033 ,TEM ABF Influent (06-04-2024),6/4/2024,% Volatile Suspended Solids,71,71,,%
ST24JUN05-01-033 ,TEM ABF Influent (06-04-2024),6/4/2024,Total Suspended Solids,302,302,,mg/L
ST24JUN05-01-033 ,TEM ABF Influent (06-04-2024),6/4/2024,Volatile Suspended Solids,213,213,,mg/L
ST24JUN05-01-033 ,TEM ABF Influent (06-04-2024),6/4/2024,pH,6.19,6.19,,pH Units
ST24JUN05-01-033 ,TEM ABF Influent (06-04-2024),6/4/2024,Soluble BOD,526,526,,mg/L
ST24JUN06-01-035 ,TEM ABF Influent (06-05-2024),6/5/2024,pH,6.79,6.79,,pH Units
ST24JUN06-01-035 ,TEM ABF Influent (06-05-2024),6/5/2024,Soluble BOD,346,346,,mg/L
ST24JUN06-01-035 ,TEM ABF Influent (06-05-2024),6/5/2024,% Volatile Suspended Solids,88,88,,%
ST24JUN06-01-035 ,TEM ABF Influent (06-05-2024),6/5/2024,Total Suspended Solids,346,346,,mg/L
ST24JUN06-01-035 ,TEM ABF Influent (06-05-2024),6/5/2024,Volatile Suspended Solids,303,303,,mg/L
ST24JUN07-01-033 ,TEM ABF Influent (06-06-2024),6/6/2024,% Volatile Suspended Solids,85,85,,%
ST24JUN07-01-033 ,TEM ABF Influent (06-06-2024),6/6/2024,Total Suspended Solids,690,690,,mg/L
ST24JUN07-01-033 ,TEM ABF Influent (06-06-2024),6/6/2024,Volatile Suspended Solids,583,583,,mg/L
ST24JUN07-01-033 ,TEM ABF Influent (06-06-2024),6/6/2024,pH,6.81,6.81,,pH Units
ST24JUN07-01-033 ,TEM ABF Influent (06-06-2024),6/6/2024,Soluble BOD,439,439,,mg/L
ST24JUN08-02-032 ,TEM ABF Influent (06-07-2024),6/7/2024,% Volatile Suspended Solids,87,87,,%
ST24JUN08-02-032 ,TEM ABF Influent (06-07-2024),6/7/2024,Total Suspended Solids,693,693,,mg/L
ST24JUN08-02-032 ,TEM ABF Influent (06-07-2024),6/7/2024,Volatile Suspended Solids,600,600,,mg/L
ST24JUN08-02-032 ,TEM ABF Influent (06-07-2024),6/7/2024,pH,6.78,6.78,,pH Units
