SampleName,StartDate,EndDate
TEM ABF Influent (TF) (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25AUG01-06-035,TEM ABF Influent (TF) (08-01-2025),8/1/2025,pH,7.35,7.35,,pH Units
ST25AUG01-06-035,TEM ABF Influent (TF) (08-01-2025),8/1/2025,Soluble BOD,115,115,,mg/L
ST25AUG02-02-032 ,TEM ABF Influent (08-01-2025),8/1/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG02-02-032 ,TEM ABF Influent (08-01-2025),8/1/2025,Total Suspended Solids,129,129,,mg/L
ST25AUG02-02-032 ,TEM ABF Influent (08-01-2025),8/1/2025,Volatile Suspended Solids,117,117,,mg/L
ST25AUG02-02-032 ,TEM ABF Influent (08-01-2025),8/1/2025,pH,7.46,7.46,,pH Units
ST25AUG02-02-032 ,TEM ABF Influent (08-01-2025),8/1/2025,Soluble BOD,62,62,,mg/L
ST25AUG03-02-032 ,TEM ABF Influent (08-02-2025),8/2/2025,% Volatile Suspended Solids,99,99,,%
ST25AUG03-02-032 ,TEM ABF Influent (08-02-2025),8/2/2025,Total Suspended Solids,135,135,,mg/L
ST25AUG03-02-032 ,TEM ABF Influent (08-02-2025),8/2/2025,Volatile Suspended Solids,133,133,,mg/L
ST25AUG03-02-032 ,TEM ABF Influent (08-02-2025),8/2/2025,pH,6.33,6.33,,pH Units
ST25AUG03-02-032 ,TEM ABF Influent (08-02-2025),8/2/2025,Soluble BOD,520,520,,mg/L
ST25AUG04-01-033 ,TEM ABF Influent (08-03-2025),8/3/2025,% Volatile Suspended Solids,88,88,,%
ST25AUG04-01-033 ,TEM ABF Influent (08-03-2025),8/3/2025,Total Suspended Solids,174,174,,mg/L
ST25AUG04-01-033 ,TEM ABF Influent (08-03-2025),8/3/2025,Volatile Suspended Solids,153,153,,mg/L
ST25AUG04-01-033 ,TEM ABF Influent (08-03-2025),8/3/2025,pH,6.38,6.38,,pH Units
ST25AUG04-01-033 ,TEM ABF Influent (08-03-2025),8/3/2025,Soluble BOD,485,485,,mg/L
ST25AUG05-01-033 ,TEM ABF Influent (08-04-2025),8/4/2025,% Volatile Suspended Solids,95,95,,%
ST25AUG05-01-033 ,TEM ABF Influent (08-04-2025),8/4/2025,Total Suspended Solids,157,157,,mg/L
ST25AUG05-01-033 ,TEM ABF Influent (08-04-2025),8/4/2025,Volatile Suspended Solids,149,149,,mg/L
ST25AUG05-01-033 ,TEM ABF Influent (08-04-2025),8/4/2025,pH,6.10,6.10,,pH Units
ST25AUG05-01-033 ,TEM ABF Influent (08-04-2025),8/4/2025,Soluble BOD,459,459,,mg/L
ST25AUG04-01-038,TEM ABF Influent (tf inf) (08-04-2025),8/4/2025,pH,7.44,7.44,,pH Units
ST25AUG04-01-038,TEM ABF Influent (tf inf) (08-04-2025),8/4/2025,Soluble BOD,128,128,,mg/L
ST25AUG05-01-035,TEM ABF Influent (TF) (08-05-2025),8/5/2025,pH,6.22,6.22,,pH Units
ST25AUG05-01-035,TEM ABF Influent (TF) (08-05-2025),8/5/2025,Soluble BOD,408,408,,mg/L
ST25AUG06-01-033 ,TEM ABF Influent (08-05-2025),8/5/2025,% Volatile Suspended Solids,89,89,,%
ST25AUG06-01-033 ,TEM ABF Influent (08-05-2025),8/5/2025,Total Suspended Solids,208,208,,mg/L
ST25AUG06-01-033 ,TEM ABF Influent (08-05-2025),8/5/2025,Volatile Suspended Solids,185,185,,mg/L
ST25AUG06-01-033 ,TEM ABF Influent (08-05-2025),8/5/2025,pH,6.16,6.16,,pH Units
ST25AUG06-01-033 ,TEM ABF Influent (08-05-2025),8/5/2025,Soluble BOD,310,310,,mg/L
ST25AUG07-01-035 ,TEM ABF Influent (08-06-2025),8/6/2025,pH,6.74,6.74,,pH Units
ST25AUG07-01-035 ,TEM ABF Influent (08-06-2025),8/6/2025,Soluble BOD,448,448,,mg/L
ST25AUG07-01-035 ,TEM ABF Influent (08-06-2025),8/6/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG07-01-035 ,TEM ABF Influent (08-06-2025),8/6/2025,Total Suspended Solids,193,193,,mg/L
ST25AUG07-01-035 ,TEM ABF Influent (08-06-2025),8/6/2025,Volatile Suspended Solids,173,173,,mg/L
ST25AUG06-01-035,TEM ABF Influent (TF) (08-06-2025),8/6/2025,pH,7.38,7.38,,pH Units
ST25AUG06-01-035,TEM ABF Influent (TF) (08-06-2025),8/6/2025,Soluble BOD,171,171,,mg/L
ST25AUG07-01-037,TEM ABF Influent (TF) (08-07-2025),8/7/2025,pH,7.02,7.02,,pH Units
ST25AUG07-01-037,TEM ABF Influent (TF) (08-07-2025),8/7/2025,Soluble BOD,348,348,,mg/L
ST25AUG08-01-033 ,TEM ABF Influent (08-07-2025),8/7/2025,% Volatile Suspended Solids,81,81,,%
ST25AUG08-01-033 ,TEM ABF Influent (08-07-2025),8/7/2025,Total Suspended Solids,213,213,,mg/L
ST25AUG08-01-033 ,TEM ABF Influent (08-07-2025),8/7/2025,Volatile Suspended Solids,173,173,,mg/L
ST25AUG08-01-033 ,TEM ABF Influent (08-07-2025),8/7/2025,pH,6.30,6.30,,pH Units
ST25AUG08-01-033 ,TEM ABF Influent (08-07-2025),8/7/2025,Soluble BOD,430,430,,mg/L
ST25AUG08-01-035,TEM ABF Influent (inf) (08-08-2025),8/8/2025,pH,7.69,7.69,,pH Units
ST25AUG08-01-035,TEM ABF Influent (inf) (08-08-2025),8/8/2025,Soluble BOD,131,131,,mg/L
ST25AUG09-02-032 ,TEM ABF Influent (08-08-2025),8/8/2025,% Volatile Suspended Solids,89,89,,%
ST25AUG09-02-032 ,TEM ABF Influent (08-08-2025),8/8/2025,Total Suspended Solids,218,218,,mg/L
ST25AUG09-02-032 ,TEM ABF Influent (08-08-2025),8/8/2025,Volatile Suspended Solids,194,194,,mg/L
ST25AUG09-02-032 ,TEM ABF Influent (08-08-2025),8/8/2025,pH,6.27,6.27,,pH Units
ST25AUG09-02-032 ,TEM ABF Influent (08-08-2025),8/8/2025,Soluble BOD,459,459,,mg/L
ST25AUG10-02-032 ,TEM ABF Influent (08-09-2025),8/9/2025,% Volatile Suspended Solids,83,83,,%
ST25AUG10-02-032 ,TEM ABF Influent (08-09-2025),8/9/2025,Total Suspended Solids,208,208,,mg/L
ST25AUG10-02-032 ,TEM ABF Influent (08-09-2025),8/9/2025,Volatile Suspended Solids,173,173,,mg/L
ST25AUG10-02-032 ,TEM ABF Influent (08-09-2025),8/9/2025,pH,6.18,6.18,,pH Units
ST25AUG10-02-032 ,TEM ABF Influent (08-09-2025),8/9/2025,Soluble BOD,374,374,,mg/L
ST25AUG11-01-033 ,TEM ABF Influent (08-10-2025),8/10/2025,% Volatile Suspended Solids,96,96,,%
ST25AUG11-01-033 ,TEM ABF Influent (08-10-2025),8/10/2025,Total Suspended Solids,137,137,,mg/L
ST25AUG11-01-033 ,TEM ABF Influent (08-10-2025),8/10/2025,Volatile Suspended Solids,131,131,,mg/L
ST25AUG11-01-033 ,TEM ABF Influent (08-10-2025),8/10/2025,pH,6.39,6.39,,pH Units
ST25AUG11-01-033 ,TEM ABF Influent (08-10-2025),8/10/2025,Soluble BOD,439,439,,mg/L
ST25AUG11-01-038,TEM ABF Influent (TF) (08-11-2025),8/11/2025,pH,7.57,7.57,,pH Units
ST25AUG11-01-038,TEM ABF Influent (TF) (08-11-2025),8/11/2025,Soluble BOD,112,112,,mg/L
ST25AUG12-01-033 ,TEM ABF Influent (08-11-2025),8/11/2025,% Volatile Suspended Solids,96,96,,%
ST25AUG12-01-033 ,TEM ABF Influent (08-11-2025),8/11/2025,Total Suspended Solids,139,139,,mg/L
ST25AUG12-01-033 ,TEM ABF Influent (08-11-2025),8/11/2025,Volatile Suspended Solids,133,133,,mg/L
ST25AUG12-01-033 ,TEM ABF Influent (08-11-2025),8/11/2025,pH,6.02,6.02,,pH Units
ST25AUG12-01-033 ,TEM ABF Influent (08-11-2025),8/11/2025,Soluble BOD,465,465,,mg/L
ST25AUG12-01-035,TEM ABF Influent (TF INF) (08-12-2025),8/12/2025,pH,6.90,6.90,,pH Units
ST25AUG12-01-035,TEM ABF Influent (TF INF) (08-12-2025),8/12/2025,Soluble BOD,224,224,,mg/L
ST25AUG13-01-033 ,TEM ABF Influent (08-12-2025),8/12/2025,% Volatile Suspended Solids,88,88,,%
ST25AUG13-01-033 ,TEM ABF Influent (08-12-2025),8/12/2025,Total Suspended Solids,173,173,,mg/L
ST25AUG13-01-033 ,TEM ABF Influent (08-12-2025),8/12/2025,Volatile Suspended Solids,153,153,,mg/L
ST25AUG13-01-033 ,TEM ABF Influent (08-12-2025),8/12/2025,pH,6.61,6.61,,pH Units
ST25AUG13-01-033 ,TEM ABF Influent (08-12-2025),8/12/2025,Soluble BOD,495,495,,mg/L
ST25AUG13-01-035,TEM ABF Influent (TF INF) (08-13-2025),8/13/2025,pH,6.98,6.98,,pH Units
ST25AUG13-01-035,TEM ABF Influent (TF INF) (08-13-2025),8/13/2025,Soluble BOD,265,265,,mg/L
ST25AUG14-01-035 ,TEM ABF Influent (08-13-2025),8/13/2025,pH,6.18,6.18,,pH Units
ST25AUG14-01-035 ,TEM ABF Influent (08-13-2025),8/13/2025,Soluble BOD,558,558,,mg/L
ST25AUG14-01-035 ,TEM ABF Influent (08-13-2025),8/13/2025,% Volatile Suspended Solids,99,99,,%
ST25AUG14-01-035 ,TEM ABF Influent (08-13-2025),8/13/2025,Total Suspended Solids,189,189,,mg/L
ST25AUG14-01-035 ,TEM ABF Influent (08-13-2025),8/13/2025,Volatile Suspended Solids,187,187,,mg/L
ST25AUG14-01-037,TEM ABF Influent (TF INF) (08-14-2025),8/14/2025,pH,7.54,7.54,,pH Units
ST25AUG14-01-037,TEM ABF Influent (TF INF) (08-14-2025),8/14/2025,Soluble BOD,109,109,,mg/L
ST25AUG15-01-033 ,TEM ABF Influent (08-14-2025),8/14/2025,% Volatile Suspended Solids,91,91,,%
ST25AUG15-01-033 ,TEM ABF Influent (08-14-2025),8/14/2025,Total Suspended Solids,183,183,,mg/L
ST25AUG15-01-033 ,TEM ABF Influent (08-14-2025),8/14/2025,Volatile Suspended Solids,167,167,,mg/L
ST25AUG15-01-033 ,TEM ABF Influent (08-14-2025),8/14/2025,pH,6.09,6.09,,pH Units
ST25AUG15-01-033 ,TEM ABF Influent (08-14-2025),8/14/2025,Soluble BOD,577,577,,mg/L
ST25AUG15-01-035,TEM ABF Influent (TF) (08-15-2025),8/15/2025,pH,6.87,6.87,,pH Units
ST25AUG15-01-035,TEM ABF Influent (TF) (08-15-2025),8/15/2025,Soluble BOD,227,227,,mg/L
ST25AUG16-02-032 ,TEM ABF Influent (08-15-2025),8/15/2025,% Volatile Suspended Solids,94,94,,%
ST25AUG16-02-032 ,TEM ABF Influent (08-15-2025),8/15/2025,Total Suspended Solids,176,176,,mg/L
ST25AUG16-02-032 ,TEM ABF Influent (08-15-2025),8/15/2025,Volatile Suspended Solids,165,165,,mg/L
ST25AUG16-02-032 ,TEM ABF Influent (08-15-2025),8/15/2025,pH,6.06,6.06,,pH Units
ST25AUG16-02-032 ,TEM ABF Influent (08-15-2025),8/15/2025,Soluble BOD,397,397,,mg/L
ST25AUG17-02-032 ,TEM ABF Influent (08-16-2025),8/16/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG17-02-032 ,TEM ABF Influent (08-16-2025),8/16/2025,Total Suspended Solids,138,138,,mg/L
ST25AUG17-02-032 ,TEM ABF Influent (08-16-2025),8/16/2025,Volatile Suspended Solids,124,124,,mg/L
ST25AUG17-02-032 ,TEM ABF Influent (08-16-2025),8/16/2025,pH,6.73,6.73,,pH Units
ST25AUG17-02-032 ,TEM ABF Influent (08-16-2025),8/16/2025,Soluble BOD,514,514,,mg/L
ST25AUG18-01-033 ,TEM ABF Influent (08-17-2025),8/17/2025,% Volatile Suspended Solids,94,94,,%
ST25AUG18-01-033 ,TEM ABF Influent (08-17-2025),8/17/2025,Total Suspended Solids,202,202,,mg/L
ST25AUG18-01-033 ,TEM ABF Influent (08-17-2025),8/17/2025,Volatile Suspended Solids,190,190,,mg/L
ST25AUG18-01-033 ,TEM ABF Influent (08-17-2025),8/17/2025,pH,6.07,6.07,,pH Units
ST25AUG18-01-033 ,TEM ABF Influent (08-17-2025),8/17/2025,Soluble BOD,410,410,,mg/L
ST25AUG19-01-033 ,TEM ABF Influent (08-18-2025),8/18/2025,% Volatile Suspended Solids,100,100,,%
ST25AUG19-01-033 ,TEM ABF Influent (08-18-2025),8/18/2025,Total Suspended Solids,147,147,,mg/L
ST25AUG19-01-033 ,TEM ABF Influent (08-18-2025),8/18/2025,Volatile Suspended Solids,147,147,,mg/L
ST25AUG19-01-033 ,TEM ABF Influent (08-18-2025),8/18/2025,pH,6.30,6.30,,pH Units
ST25AUG19-01-033 ,TEM ABF Influent (08-18-2025),8/18/2025,Soluble BOD,406,406,,mg/L
ST25AUG18-01-038,TEM ABF Influent (TF) (08-18-2025),8/18/2025,pH,6.48,6.48,,pH Units
ST25AUG18-01-038,TEM ABF Influent (TF) (08-18-2025),8/18/2025,Soluble BOD,449,449,,mg/L
ST25AUG19-01-035,TEM ABF Influent (TF) (08-19-2025),8/19/2025,pH,7.42,7.42,,pH Units
ST25AUG19-01-035,TEM ABF Influent (TF) (08-19-2025),8/19/2025,Soluble BOD,132,132,,mg/L
ST25AUG20-01-033 ,TEM ABF Influent (08-19-2025),8/19/2025,% Volatile Suspended Solids,76,76,,%
ST25AUG20-01-033 ,TEM ABF Influent (08-19-2025),8/19/2025,Total Suspended Solids,172,172,,mg/L
ST25AUG20-01-033 ,TEM ABF Influent (08-19-2025),8/19/2025,Volatile Suspended Solids,131,131,,mg/L
ST25AUG20-01-033 ,TEM ABF Influent (08-19-2025),8/19/2025,pH,6.40,6.40,,pH Units
ST25AUG20-01-033 ,TEM ABF Influent (08-19-2025),8/19/2025,Soluble BOD,489,489,,mg/L
