SampleName,StartDate,EndDate
TEM Primary Effluent (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,% Volatile Suspended Solids,84,84,,%
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,Total Suspended Solids,56,56,,mg/L
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,TSS - Change in Wt,2.13,2.13,,%
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,Volatile Suspended Solids,48,48,,mg/L
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,Biochemical Oxygen Demand,629,629,,mg/L
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,pH,6.78,6.78,,pH Units
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,pH,6.30,6.30,,pH Units
ST25AUG02-02-021 ,TEM Primary Effluent (08-01-2025),8/1/2025,Soluble BOD,455,455,,mg/L
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,% Volatile Suspended Solids,92,92,,%
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,Total Suspended Solids,176,176,,mg/L
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,TSS - Change in Wt,0.00,0,,%
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,Volatile Suspended Solids,162,162,,mg/L
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,Biochemical Oxygen Demand,583,583,,mg/L
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,pH,6.26,6.26,,pH Units
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,pH,6.43,6.43,,pH Units
ST25AUG03-02-021 ,TEM Primary Effluent (08-02-2025),8/2/2025,Soluble BOD,474,474,,mg/L
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,Biochemical Oxygen Demand,601,601,,mg/L
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,pH,6.14,6.14,,pH Units
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,% Volatile Suspended Solids,88,88,,%
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,Total Suspended Solids,163,163,,mg/L
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,TSS - Change in Wt,1.84,1.84,,%
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,Volatile Suspended Solids,144,144,,mg/L
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,pH,6.38,6.38,,pH Units
ST25AUG04-01-022 ,TEM Primary Effluent (08-03-2025),8/3/2025,Soluble BOD,462,462,,mg/L
ST25AUG05-01-022,TEM Primary Effluent (08-04-2025),8/4/2025,Biochemical Oxygen Demand,544,544,,mg/L
ST25AUG05-01-022,TEM Primary Effluent (08-04-2025),8/4/2025,pH,6.90,6.90,,pH Units
ST25AUG05-01-022,TEM Primary Effluent (08-04-2025),8/4/2025,% Volatile Suspended Solids,75,75,,%
ST25AUG05-01-022,TEM Primary Effluent (08-04-2025),8/4/2025,Total Suspended Solids,177,177,,mg/L
