SampleName,StartDate,EndDate
Maxson Operations Data (06-01-2024),6/1/2024,6/1/2025

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
MX24JUN01-01-001,Maxson Operations Data (06-01-2024),6/1/2024,% Solids (Generated Monthly-MOR),0.00,0.00,,%
MX24JUN01-01-001,Maxson Operations Data (06-01-2024),6/1/2024,Qty Wet Sludge Disposed,0.00,0.00,,Gallons/Month
MX24JUN01-01-001,Maxson Operations Data (06-01-2024),6/1/2024,Qty Wet Sludge Generated,0.00,0.00,,Gallons/Month
MX24JUN01-01-001,Maxson Operations Data (06-01-2024),6/1/2024,Volatile Solids Reduction Waste Sludge to Disposal,0.00,0.00,,mg/L
MX24JUN01-01-001,Maxson Operations Data (06-01-2024),6/1/2024,Weight of Sludge(Dry) Disposed,0.00,0.00,,Metric Tons/Month
MX24JUN01-01-001,Maxson Operations Data (06-01-2024),6/1/2024,Weight of Sludge(Dry) Generated,0.00,0.00,,Metric Tons/Month
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,% VOL. RED.,,,,%
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Cake Dry Tons/Day,,,,Tons/Day
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Dissolved O2 - North,0.80,0.80,,mg/L
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,"Dissolved Oxygen, Effluent",0.50,0.50,,mg/L
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,"Dissolved Oxygen, Influent",0.80,0.80,,mg/L
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,"Flow(MAX), Influent",129.60,129.60,,MGD
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,"Flow, Effluent",,,,MGD
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,"Flow, Influent",100.30,100.30,,MGD
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Hours Bypassed,0.00,0.00,,
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Peracetic Acid,0.00,0.00,,ppm
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,pH - Effluent (Max),7.41,7.41,,pH Units
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,pH - Effluent (Min),7.14,7.14,,pH Units
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,pH - Influent,6.34,6.34,,pH Units
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Pounds of Chlorine - Effluent,,,,pH Units
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Pounds of Sulfur Dioxide - Effluent,,,,pH Units
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Rainfall,0.34,0.34,,inch
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Temperature - DIG.SDG.,21.70,21.70,,C
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Temperature - Effluent,24.60,24.60,,C
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Temperature - Influent,24.18,24.18,,C
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Temperature - North,24.90,24.90,,C
MX24JUN01-02-001,Maxson Operations Data (06-01-2024),6/1/2024,Wet Cake,,,,Gallons/Day
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,% VOL. RED.,,,,%
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,Cake Dry Tons/Day,,,,Tons/Day
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,Dissolved O2 - North,0.40,0.40,,mg/L
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,"Dissolved Oxygen, Effluent",1.30,1.30,,mg/L
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,"Dissolved Oxygen, Influent",0.40,0.40,,mg/L
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,"Flow(MAX), Influent",94.60,94.60,,MGD
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,"Flow, Effluent",,,,MGD
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,"Flow, Influent",87.20,87.20,,MGD
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,Hours Bypassed,0.00,0.00,,
MX24JUN02-01-001,Maxson Operations Data (06-02-2024),6/2/2024,Peracetic Acid,0.00,0.00,,ppm
